Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
LFA Grazing Livestock	7	1					
Lowland Grazing Livestock	7	1					
Cereals	9	2					
General cropping	13	3					
Pigs&Poultry	28	7					
Mixed	9	3					
Horticulture	17	4					
Distribution of gearing ratio by farm type	Distribution of gearing ratio by farm type	Distribution of gearing ratio by farm type	Distribution of gearing ratio by farm type	Distribution of gearing ratio by farm type	Distribution of gearing ratio by farm type		
	Percentage of farm businesses						
	Gearing Ratio (%)						
Farm Type	<5%	5%-<10%	10%-<20%	20%-<40%	40%+		
Dairy	28	11	25	21	15		
LFA Grazing Livestock	53	20	17	7	3		
Lowland Grazing Livestock	62	11	12	9	7		
Cereals	55	13	15	11	6		
General cropping	48	14	16	16	6		
Pigs&Poultry	26	13	16	17	28		
Mixed	52	20	10	10	8		
Horticulture	43	13	21	9	14		
Average gearing ratio by farm size	Average gearing ratio by farm size	Average gearing ratio by farm size					
Farm Size	Average Gearing Ratio (%)	95% Confidence Interval (%) (±)					
Spare & part-time	7	2					
Small	8	1					
Medium	10	2					
Large	11	2					
Very large	17	2					
Distribution of gearing ratio by farm size	Distribution of gearing ratio by farm size	Distribution of gearing ratio by farm size	Distribution of gearing ratio by farm size	Distribution of gearing ratio by farm size	Distribution of gearing ratio by farm size		
	Percentage of farm businesses						
	Gearing Ratio (%)						
Farm Size	<5%	5%-<10%	10%-<20%	20%-<40%	40%+		
Spare & part-time	64	14	10	5	7		
Small	52	15	15	10	7		
Medium	47	15	17	13	8		
Large	41	12	20	17	11		
Very large	26	12	25	23	14		
Average gearing ratio by farm tenure	Average gearing ratio by farm tenure	Average gearing ratio by farm tenure					
Farm Tenure	Average Gearing Ratio (%)	95% Confidence Interval (%) (±)					
Owner occupied	10	2					
Mixed - mainly owner occupied	9	1					
Mixed - mainly tenanted	17	3					
Tenanted	28	6					
Distribution of gearing ratio by farm tenure	Distribution of gearing ratio by farm tenure	Distribution of gearing ratio by farm tenure	Distribution of gearing ratio by farm tenure	Distribution of gearing ratio by farm tenure	Distribution of gearing ratio by farm tenure		
	Percentage of farm businesses						
	Gearing Ratio (%)						
Farm Tenure	<5%	5%-<10%	10%-<20%	20%-<40%	40%+		
Owner occupied	60	15	12	8	6		
