Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2023,COC,Countess of Chester Hospital,England,385,334,379,88,359,379,95,238,379,63,130,238,55,144,379,38,68,144,47,211,214,99,21,103,20,88,122,72,15,17,88,248,379,65,7,372,2,383,385,100,371,385,96,374,379,99,328,379,87,378,385,98,374,379,99,257,379,68,383,385,100,378,385,98,313,379,83,385,409,94,17,25,372,385,97,266,385,69,12,385,3,345,385,90,313,385,81,185,352,53,27,385,7,7
2023,COL,Colchester General Hospital,England,642,358,623,58,293,623,47,413,623,66,224,413,54,211,623,34,118,211,56,309,312,99,29,157,19,89,179,50,33,35,94,401,622,65,29,621,5,634,642,99,638,642,99,621,623,100,563,623,90,609,642,95,621,623,100,499,623,80,623,642,97,628,642,98,343,623,55,642,632,102,13,14,544,642,85,466,642,73,15,642,2,624,642,97,483,642,75,203,615,33,42,642,7,7
2023,DAR,Darlington Memorial Hospital,England,393,278,387,72,252,387,65,175,387,45,137,175,78,222,387,57,174,222,78,216,217,100,6,93,7,103,131,79,11,11,100,268,386,69,26,383,7,384,393,98,378,393,96,375,387,97,324,387,84,390,393,99,382,387,99,263,387,68,391,393,100,389,393,99,254,387,66,393,338,116,8,18,354,393,90,244,393,62,9,393,2,392,393,100,147,393,37,157,368,43,25,393,6,5
2023,DER,Royal Derby Hospital,England,662,415,659,63,445,659,68,56,659,9,31,56,55,609,659,92,330,609,54,343,343,100,29,142,20,126,187,67,45,47,96,461,643,72,40,646,6,631,662,95,552,662,83,651,659,99,420,659,64,633,662,96,634,659,96,528,659,80,659,662,100,655,662,99,309,659,47,662,630,105,17,20,589,662,89,475,662,72,15,662,2,656,662,99,423,662,64,121,604,20,39,662,6,6
2023,DID,Doncaster Royal Infirmary,England,546,254,542,47,492,542,91,137,542,25,48,137,35,408,542,75,138,408,34,207,261,79,14,121,12,59,68,87,10,14,71,230,483,48,21,528,4,457,546,84,16,546,3,533,542,98,372,542,69,494,546,91,406,542,75,325,542,60,20,546,4,197,546,36,*,540,*,546,562,97,17,19,521,546,95,464,546,85,8,546,2,545,546,100,0,546,0,248,506,49,30,546,5,5
2023,DRY,University Hospital of North Durham,England,428,227,420,54,135,420,32,267,420,64,142,267,53,157,420,37,80,157,51,224,225,100,17,76,22,100,120,83,31,34,91,335,418,80,68,412,17,413,428,97,376,428,88,413,420,98,309,420,74,427,428,100,417,420,99,312,420,74,424,428,99,402,428,94,176,420,42,428,401,107,11,20,403,428,94,310,428,72,16,428,4,427,428,100,199,428,47,197,404,49,26,428,6,4
2023,DVH,Darent Valley Hospital,England,298,206,298,69,151,298,51,177,298,59,34,177,19,126,298,42,15,126,12,153,159,96,23,74,31,56,90,62,12,19,63,201,297,68,16,289,6,296,298,99,277,298,93,294,298,99,247,298,83,298,298,100,296,298,99,240,298,81,296,298,99,296,298,99,192,298,64,298,315,95,16,16,244,298,82,221,298,74,9,298,3,297,298,100,0,298,0,0,285,0,13,298,4,6
2023,EBH,Birmingham Heartlands Hospital,England,1212,778,1176,66,1176,1176,100,715,1176,61,367,715,51,549,1176,47,233,549,42,484,589,82,48,249,19,130,468,28,20,20,100,534,1175,45,34,1104,3,1211,1212,100,1187,1212,98,1171,1176,100,894,1176,76,1212,1212,100,1170,1176,100,817,1176,70,1208,1212,100,1202,1212,99,775,1176,66,1212,1054,115,11,19,1141,1212,94,813,1212,67,34,1212,3,1194,1212,99,0,1212,0,0,1118,0,71,1212,6,6
2023,ENH,East and North Herts Hospital,England,459,353,451,78,202,451,45,160,451,36,127,160,79,295,451,65,192,295,65,247,248,100,25,116,22,111,124,90,35,40,88,333,446,75,*,450,*,444,459,97,453,459,99,414,451,92,419,451,93,459,459,100,444,451,98,337,451,75,458,459,100,452,459,99,307,451,68,459,430,107,14,14,437,459,95,358,459,78,10,459,2,457,459,100,258,459,56,248,433,57,34,459,7,6
2023,ESU,East Surrey Hospital,England,499,186,494,38,19,494,4,321,494,65,184,321,57,181,494,37,62,181,34,270,277,98,27,110,25,102,141,72,8,8,100,346,493,70,71,492,14,493,499,99,492,499,99,491,494,99,403,494,82,494,499,99,489,494,99,390,494,79,497,499,100,494,499,99,179,494,36,499,543,92,19,20,413,499,83,309,499,62,6,499,1,183,499,37,240,499,48,212,461,46,31,499,6,4
2023,FAZ,University Hospital Aintree,England,848,364,825,44,499,825,61,781,825,95,554,781,71,44,825,5,12,44,27,410,411,100,22,155,14,181,271,67,67,71,94,592,821,72,75,799,9,826,848,97,722,848,85,819,825,99,601,825,73,837,848,99,773,825,94,547,825,66,844,848,100,833,848,98,290,825,35,848,829,102,20,26,610,848,72,480,848,57,35,848,4,834,848,98,653,848,77,0,757,0,53,848,6,6
2023,FGH,Furness General,England,158,98,152,65,83,152,55,32,152,21,0,32,0,121,152,80,0,121,0,35,83,42,18,46,39,24,29,83,*,10,*,73,149,49,69,151,46,153,158,97,149,158,94,150,152,99,125,152,82,156,158,99,153,152,101,123,152,81,157,158,99,153,158,97,84,152,55,158,184,86,20,27,147,158,93,119,158,75,*,160,*,144,158,91,*,160,*,0,143,0,9,158,6,9
2023,FRM,Frimley Park Hospital,England,468,259,460,56,294,460,64,101,460,22,79,101,78,376,460,82,274,376,73,228,230,99,30,106,28,77,134,58,6,7,86,312,456,68,31,456,7,453,468,97,433,468,93,453,460,99,340,460,74,446,468,95,447,460,97,380,460,83,465,468,99,463,468,99,221,460,48,468,498,94,18,26,454,468,97,367,468,78,9,468,2,462,468,99,294,468,63,253,427,59,24,468,5,4
2023,FRY,Southmead Hospital,England,609,392,586,67,367,586,63,559,586,95,504,559,90,29,586,5,16,29,55,295,298,99,43,120,36,156,207,75,36,42,86,440,585,75,153,583,26,599,609,98,574,609,94,580,586,99,516,586,88,607,609,100,578,586,99,469,586,80,603,609,99,602,609,99,365,586,62,609,588,104,17,17,516,609,85,397,609,65,20,609,3,598,609,98,303,609,50,315,561,56,44,609,7,6
2023,GEO,St George's Hospital,England,209,150,201,75,101,201,50,136,201,68,54,136,40,83,201,41,25,83,30,99,100,99,7,45,16,33,59,56,6,7,86,124,196,63,8,202,4,198,209,95,187,209,90,194,201,97,173,201,86,208,209,100,174,201,87,135,201,67,207,209,99,201,209,96,116,201,58,209,228,92,18,23,191,209,91,163,209,78,7,209,3,203,209,97,*,210,*,*,200,*,9,209,4,4
2023,GGH,"Diana, Princess of Wales Hospital",England,288,204,287,71,287,287,100,174,287,61,51,174,29,116,287,40,10,116,9,143,154,93,33,75,44,69,72,96,50,50,100,224,284,79,13,280,5,287,288,100,240,288,83,284,287,99,188,287,66,288,288,100,284,287,99,272,287,95,281,288,98,282,288,98,163,287,57,288,257,112,11,11,252,288,88,177,288,62,6,288,2,250,288,87,222,288,77,80,276,29,10,288,3,3
2023,GLO,Gloucestershire Royal Hospital,England,829,289,811,36,216,811,27,705,811,87,695,705,99,114,811,14,99,114,87,421,421,100,49,168,29,123,245,50,62,62,100,574,811,71,28,809,4,824,829,99,823,829,99,805,811,99,718,811,89,829,829,100,806,811,99,631,811,78,816,829,98,818,829,99,287,811,35,829,799,104,16,17,752,829,91,646,829,78,20,829,2,798,829,96,654,829,79,387,766,51,63,829,8,6
2023,GWE,The Grange University Hospital,Wales,811,448,788,57,349,788,44,321,788,41,306,321,95,467,788,59,430,467,92,369,371,100,34,110,31,169,235,72,36,44,82,569,729,78,111,739,15,536,811,66,782,811,96,754,788,96,547,788,69,800,811,99,776,788,99,632,788,80,797,811,98,796,811,98,277,788,35,811,746,109,6,34,786,811,97,616,811,76,55,811,7,772,811,95,619,811,76,528,689,77,54,811,7,7
2023,GWH,"Queen Elizabeth Hospital, Woolwich",England,305,217,304,71,299,304,98,239,304,79,212,239,89,70,304,23,64,70,91,142,147,97,9,73,12,54,82,66,20,23,87,193,304,64,6,288,2,303,305,99,297,305,97,302,304,99,291,304,96,302,305,99,301,304,99,237,304,78,303,305,99,303,305,99,210,304,69,305,305,100,17,17,288,305,94,247,305,81,9,305,3,304,305,100,19,305,6,205,281,73,20,305,7,8
2023,GWY,Ysbyty Gwynedd Hospital,Wales,352,255,352,72,310,352,88,291,352,83,119,291,41,66,352,19,16,66,24,128,137,93,10,127,8,83,97,86,18,22,82,182,351,52,22,332,7,344,352,98,235,352,67,350,352,99,328,352,93,350,352,99,341,352,97,286,352,81,342,352,97,345,352,98,185,352,53,352,324,109,19,28,333,352,95,290,352,82,*,350,*,328,352,93,349,352,99,200,314,64,11,352,3,2
2023,HAR,Harrogate District Hospital,England,285,238,280,85,122,280,44,150,280,54,133,150,89,138,280,49,101,138,73,154,157,98,12,54,22,73,82,89,16,16,100,221,276,80,60,277,22,278,285,98,273,285,96,276,280,99,249,280,89,285,285,100,277,280,99,165,280,59,280,285,98,280,285,98,223,280,80,285,283,101,14,19,257,285,90,202,285,71,8,285,3,256,285,90,203,285,71,105,265,40,18,285,6,4
2023,HCH,County Hospital Hereford,England,419,253,401,63,198,401,49,271,401,68,218,271,80,140,401,35,*,150,*,208,208,100,16,137,12,125,128,98,10,11,91,278,399,70,15,407,4,417,419,100,415,419,99,400,401,100,399,401,100,419,419,100,399,401,100,287,401,72,419,419,100,418,419,100,251,401,63,419,455,92,12,19,378,419,90,280,419,67,9,419,2,418,419,100,*,420,*,0,381,0,44,419,11,10
2023,HIL,Hillingdon Hospital,England,203,151,203,74,100,203,49,63,203,31,11,63,18,147,203,72,*,150,*,91,104,88,7,44,16,44,63,70,16,17,94,138,202,68,13,195,7,194,203,96,174,203,86,192,203,95,155,203,76,197,203,97,184,203,91,144,203,71,197,203,97,196,203,97,113,203,56,203,178,114,14,19,195,203,96,174,203,86,*,200,*,193,203,95,0,203,0,141,193,73,11,203,5,6
2023,HOM,Homerton Hospital,England,102,74,100,74,81,100,81,64,100,64,59,64,92,36,100,36,15,36,42,45,48,94,*,20,*,17,30,57,8,8,100,61,99,62,*,100,*,97,102,95,99,102,97,94,100,94,68,100,68,101,102,99,91,100,91,66,100,66,101,102,99,98,102,96,59,100,59,102,102,100,19,19,97,102,95,82,102,80,6,102,6,93,102,91,*,100,*,0,92,0,7,102,7,4
2023,HOR,Horton General Hospital,England,297,255,296,86,273,296,92,254,296,86,232,254,91,55,296,19,35,55,64,160,160,100,23,74,31,96,96,100,18,18,100,244,296,82,33,265,13,297,297,100,295,297,99,293,296,99,248,296,84,297,297,100,296,296,100,242,296,82,297,297,100,297,297,100,251,296,85,297,288,103,16,18,271,297,91,229,297,77,*,300,*,291,297,98,290,297,98,19,284,7,10,297,3,3
2023,HRI,Hull Royal Infirmary,England,686,321,671,48,338,671,50,257,671,38,98,257,38,428,671,64,186,428,44,350,359,98,33,111,30,154,205,75,22,25,88,532,670,79,77,647,12,681,686,99,627,686,91,664,671,99,623,671,93,686,686,100,641,671,96,459,671,68,673,686,98,676,686,99,286,671,43,686,674,102,18,18,658,686,96,520,686,76,35,686,5,576,686,84,482,686,70,442,612,72,63,686,9,7
2023,HUD,Huddersfield Royal Infirmary,England,544,325,522,62,239,522,46,186,522,36,156,186,84,339,522,65,312,339,92,281,286,98,20,125,16,100,165,61,25,27,93,337,515,65,10,530,2,509,544,94,422,544,78,452,522,87,306,522,59,488,544,90,516,522,99,411,522,79,473,544,87,452,544,83,170,522,33,544,562,97,19,19,485,544,89,392,544,72,12,544,2,425,544,78,0,544,0,0,504,0,31,544,6,5
2023,IOW,"St Mary's Hospital, Newport",England,227,124,218,57,37,218,17,91,218,42,32,91,35,134,218,62,59,134,44,112,112,100,0,10,0,77,85,91,*,10,*,145,168,86,42,221,19,52,227,23,12,227,5,174,218,80,130,218,60,176,227,78,0,218,0,0,218,0,205,227,90,36,227,16,0,218,0,227,195,116,14,14,139,227,61,134,227,59,*,220,*,215,227,95,*,230,*,0,226,0,*,230,*,2
2023,IPS,The Ipswich Hospital,England,500,243,477,51,453,477,95,400,477,84,332,400,83,85,477,18,35,85,41,274,274,100,0,105,0,139,151,92,31,32,97,354,474,75,87,477,18,496,500,99,464,500,93,472,477,99,378,477,79,461,500,92,472,477,99,307,477,64,493,500,99,490,500,98,205,477,43,500,531,94,14,20,476,500,95,405,500,81,15,500,3,486,500,97,467,500,93,207,464,45,26,500,5,4
2023,JPH,James Paget Hospital,England,441,308,429,72,101,429,24,199,429,46,170,199,85,233,429,54,143,233,61,201,226,89,21,91,23,103,149,69,14,15,93,287,429,67,79,434,18,440,441,100,434,441,98,424,429,99,358,429,83,436,441,99,427,429,100,330,429,77,433,441,98,435,441,99,299,429,70,441,453,97,15,18,401,441,91,333,441,76,7,441,2,414,441,94,201,441,46,198,408,49,38,441,9,8
2023,KCH,King's College Hospital,England,105,38,103,37,78,103,76,78,103,76,51,78,65,23,103,22,*,20,*,43,43,100,6,17,35,14,28,50,7,7,100,62,94,66,*,100,*,81,105,77,90,105,86,96,103,93,68,103,66,97,105,92,100,103,97,66,103,64,105,105,100,105,105,100,24,103,23,105,126,83,25,26,99,105,94,76,105,72,7,105,7,97,105,92,56,105,53,67,96,70,*,110,*,4
2023,KGH,Kettering General Hospital,England,346,236,343,69,52,343,15,261,343,76,45,261,17,89,343,26,10,89,11,185,190,97,7,90,8,74,86,86,19,22,86,234,343,68,51,339,15,346,346,100,304,346,88,340,343,99,284,343,83,342,346,99,328,343,96,282,343,82,344,346,99,325,346,94,191,343,56,346,359,96,16,17,320,346,93,271,346,78,7,346,2,317,346,92,343,346,99,0,327,0,18,346,5,7
2023,KMH,Kings Mill Hospital,England,627,288,595,48,63,595,11,415,595,70,67,415,16,346,595,58,35,346,10,283,290,98,20,103,19,141,170,83,16,18,89,451,595,76,76,594,13,626,627,100,555,627,89,591,595,99,531,595,89,625,627,100,425,595,71,354,595,60,619,627,99,597,627,95,228,595,38,627,551,114,14,21,620,627,99,507,627,81,19,627,3,623,627,99,258,627,41,182,580,31,40,627,6,6
2023,KTH,Kingston Hospital,England,352,178,336,53,236,336,70,179,336,53,10,179,6,163,336,49,*,160,*,171,171,100,12,81,15,92,98,94,24,24,100,263,336,78,16,338,5,349,352,99,319,352,91,330,336,98,280,336,83,351,352,100,332,336,99,241,336,72,348,352,99,346,352,98,154,336,46,352,366,96,19,19,275,352,78,232,352,66,11,352,3,343,352,97,0,352,0,66,336,20,15,352,4,5
2023,LDH,Luton & Dunstable Hospital,England,337,280,336,83,164,336,49,199,336,59,168,199,84,133,336,40,19,133,14,184,184,100,29,95,31,101,110,92,17,20,85,252,333,76,23,331,7,329,337,98,329,337,98,334,336,99,259,336,77,332,337,99,326,336,97,258,336,77,335,337,99,330,337,98,258,336,77,337,375,90,19,20,299,337,89,217,337,64,*,340,*,296,337,88,*,340,*,12,318,4,16,337,5,5
2023,LER,Leicester Royal Infirmary,England,858,436,852,51,226,852,27,163,852,19,97,163,60,688,852,81,431,688,63,453,472,96,21,172,12,200,329,61,34,42,81,535,847,63,20,825,2,849,858,99,777,858,91,852,852,100,625,852,73,858,858,100,846,852,99,590,852,69,854,858,100,850,858,99,405,852,48,858,926,93,17,22,834,858,97,691,858,81,29,858,3,822,858,96,0,858,0,0,813,0,34,858,4,4
2023,LEW,University Hospital Lewisham,England,183,131,173,76,112,173,65,127,173,73,65,127,51,53,173,31,30,53,57,95,102,93,*,40,*,35,44,80,6,9,67,119,170,70,10,175,6,174,183,95,176,183,96,172,173,99,133,173,77,173,183,95,174,173,101,105,173,61,180,183,98,176,183,96,120,173,69,183,192,95,18,24,160,183,87,128,183,70,8,183,4,179,183,98,*,180,*,93,164,57,7,183,4,4
2023,LGH,Leighton Hospital,England,406,262,395,66,395,395,100,335,395,85,240,335,72,60,395,15,30,60,50,212,214,99,10,70,14,99,123,81,35,37,95,304,389,78,39,391,10,398,406,98,327,406,81,296,395,75,253,395,64,353,406,87,380,395,96,312,395,79,378,406,93,377,406,93,147,395,37,406,335,121,16,21,349,406,86,257,406,63,11,406,3,400,406,99,*,410,*,0,377,0,26,406,6,6
2023,LGI,Leeds General Infirmary,England,738,229,713,32,290,713,41,441,713,62,412,441,93,273,713,38,203,273,74,396,396,100,20,138,15,131,182,72,30,34,88,529,704,75,55,691,8,731,738,99,666,738,90,708,713,99,490,713,69,736,738,100,698,713,98,554,713,78,725,738,98,723,738,98,213,713,30,738,678,109,21,26,613,738,83,500,738,68,47,738,6,707,738,96,470,738,64,363,676,54,52,738,7,7
2023,LIN,Lincoln County Hospital,England,444,228,432,53,399,432,92,126,432,29,26,126,21,302,432,70,76,302,25,191,239,80,42,129,33,95,110,86,17,18,94,279,427,65,21,428,5,443,444,100,369,444,83,424,432,98,336,432,78,435,444,98,420,432,97,320,432,74,433,444,98,357,444,80,178,432,41,444,437,102,18,18,404,444,91,330,444,74,13,444,3,429,444,97,431,444,97,140,413,34,28,444,6,6
2023,LON,Royal London Hospital,England,7,*,5,*,*,5,*,*,5,*,*,10,*,*,5,*,*,5,*,*,5,*,0,0,,0,*,*,0,0,,*,5,*,0,*,*,*,5,*,*,5,*,*,5,*,*,5,*,7,7,100,*,5,*,*,5,*,*,5,*,6,7,86,*,5,*,7,18,39,31,31,*,5,*,*,5,*,6,7,86,7,7,100,*,5,*,0,*,*,*,5,*,*
2023,MAC,Macclesfield District General Hospital,England,302,159,291,55,94,291,32,102,291,35,80,102,78,188,291,65,11,188,6,126,136,93,26,62,42,61,87,70,14,15,93,220,291,76,27,294,9,295,302,98,274,302,91,291,291,100,203,291,70,284,302,94,286,291,98,263,291,90,295,302,98,291,302,96,142,291,49,302,304,99,19,24,243,302,81,199,302,66,7,302,2,290,302,96,0,302,0,0,281,0,14,302,5,4
2023,MAY,Mayday University Hospital,England,291,166,284,59,209,284,74,111,284,39,59,111,53,176,284,62,76,176,43,110,123,89,7,40,18,74,96,77,30,30,100,211,280,75,*,280,*,285,291,98,284,291,98,273,284,96,179,284,63,290,291,100,280,284,99,239,284,84,290,291,100,289,291,99,156,284,55,291,264,110,22,22,248,291,85,210,291,72,6,291,2,263,291,90,0,291,0,0,273,0,12,291,4,3
2023,MDW,Medway Maritime Hospital,England,403,216,395,55,396,395,100,*,400,*,*,*,*,394,395,100,14,394,4,189,192,98,22,137,16,128,135,95,*,*,*,258,396,65,30,393,8,403,403,100,362,403,90,396,395,100,395,395,100,401,403,100,394,395,100,251,395,64,396,403,98,397,403,99,195,395,49,403,394,102,20,20,352,403,87,281,403,70,8,403,2,396,403,98,323,403,80,91,367,25,25,403,6,8
2023,MKH,Milton Keynes General Hospital,England,301,150,290,52,87,290,30,239,290,82,25,239,11,51,290,18,*,50,*,174,174,100,19,69,28,57,83,69,*,*,*,204,285,72,*,300,*,285,301,95,280,301,93,284,290,98,217,290,75,293,301,97,219,290,76,184,290,63,293,301,97,294,301,98,109,290,38,301,282,107,21,21,285,301,95,240,301,80,*,300,*,267,301,89,*,300,*,89,275,32,22,301,7,7
2023,MOR,Morriston Hospital,Wales,600,185,571,32,328,571,57,462,571,81,387,462,84,135,571,24,87,135,64,273,278,98,35,109,32,109,156,70,83,102,81,410,564,73,10,572,2,570,600,95,582,600,97,568,571,100,474,571,83,600,600,100,568,571,100,428,571,75,598,600,100,597,600,100,172,571,30,600,633,95,22,33,536,600,89,431,600,72,24,600,4,590,600,98,422,600,70,97,508,19,35,600,6,5
2023,MPH,Musgrove Park Hospital,England,504,359,492,73,365,492,74,285,492,58,157,285,55,204,492,42,98,204,48,228,228,100,32,92,35,128,151,85,*,5,*,389,484,80,64,485,13,473,504,94,412,504,82,484,492,98,435,492,88,450,504,89,430,492,87,340,492,69,489,504,97,489,504,97,229,492,47,504,554,91,13,19,471,504,94,394,504,78,17,504,3,*,500,*,0,504,0,172,462,37,32,504,6,5
2023,MRI,Manchester Royal Infirmary,England,38,12,36,33,36,36,100,16,36,44,9,16,56,22,36,61,10,22,46,17,17,100,*,*,*,*,10,*,*,*,*,28,35,80,*,30,*,36,38,95,33,38,87,34,36,94,17,36,47,35,38,92,34,36,94,20,36,56,37,38,97,37,38,97,9,36,25,38,41,93,31,43,33,38,87,21,38,55,12,38,32,29,38,76,9,38,24,13,31,42,*,40,*,*
2023,NCR,New Cross Hospital,England,472,282,452,62,422,452,93,179,452,40,98,179,55,248,452,55,100,248,40,215,230,94,19,94,20,108,161,67,21,25,84,290,450,64,7,454,2,466,472,99,470,472,100,448,452,99,328,452,73,472,472,100,450,452,100,361,452,80,468,472,99,468,472,99,276,452,61,472,497,95,13,18,445,472,94,366,472,78,16,472,3,466,472,99,203,472,43,259,437,59,41,472,9,7
2023,NDD,North Devon District Hospital,England,304,197,300,66,37,300,12,268,300,89,176,268,66,37,300,12,16,37,43,128,135,95,14,42,33,79,97,81,31,36,86,215,274,79,38,285,13,183,304,60,6,304,2,297,300,99,284,300,95,177,304,58,151,300,50,118,300,39,291,304,96,80,304,26,0,300,0,304,362,84,12,13,296,304,97,250,304,82,12,304,4,271,304,89,0,304,0,95,289,33,17,304,6,4
2023,NGS,Northern General Hospital,England,573,411,562,73,509,562,91,175,562,31,145,175,83,388,562,69,311,388,80,291,291,100,30,114,26,147,156,94,19,19,100,468,562,83,33,544,6,568,573,99,545,573,95,557,562,99,489,562,87,569,573,99,555,562,99,408,562,73,571,573,100,570,573,100,391,562,70,573,617,93,16,16,542,573,95,412,573,72,23,573,4,563,573,98,0,573,0,388,536,72,37,573,6,6
2023,NHH,North Hampshire Hospital,England,474,284,444,64,249,444,56,205,444,46,109,205,53,242,444,55,119,242,49,239,242,99,49,103,48,77,147,52,15,17,88,306,432,71,60,462,13,427,474,90,366,474,77,432,444,97,326,444,73,441,474,93,450,444,101,346,444,78,437,474,92,455,474,96,179,444,40,474,449,106,16,18,409,474,86,340,474,72,11,474,2,427,474,90,147,474,31,119,433,28,24,474,5,4
2023,NMG,North Manchester General Hospital,England,375,99,359,28,315,359,88,61,359,17,13,61,21,306,359,85,133,306,44,176,186,95,21,79,27,26,102,26,15,16,94,216,359,60,182,357,51,374,375,100,371,375,99,356,359,99,263,359,73,375,375,100,359,359,100,258,359,72,369,375,98,369,375,98,99,359,28,375,382,98,19,20,294,375,78,230,375,61,12,375,3,365,375,97,0,375,0,151,343,44,27,375,7,5
2023,NMH,North Middlesex Hospital,England,232,154,225,68,159,225,71,138,225,61,96,138,70,87,225,39,53,87,61,98,111,88,12,53,23,61,81,75,10,11,91,152,224,68,*,220,*,232,232,100,224,232,97,228,225,101,180,225,80,232,232,100,228,225,101,165,225,73,228,232,98,227,232,98,146,225,65,232,254,91,20,24,214,232,92,167,232,72,10,232,4,199,232,86,0,232,0,127,209,61,14,232,6,6
2023,NOB,Noble's Hospital,England,85,75,81,93,34,81,42,59,81,73,50,59,85,25,81,31,*,30,*,35,36,97,*,30,*,24,30,80,7,7,100,51,80,64,22,83,27,75,85,88,70,85,82,81,81,100,81,81,100,85,85,100,61,81,75,52,81,64,85,85,100,83,85,98,50,81,62,85,61,139,12,21,85,85,100,77,85,91,*,90,*,85,85,100,57,85,67,0,83,0,0,85,0,0
2023,NOR,Norfolk and Norwich Hospital,England,880,538,859,63,638,859,74,666,859,78,180,666,27,195,859,23,39,195,20,453,464,98,40,172,23,139,265,53,41,45,91,573,849,68,96,835,12,849,880,97,655,880,74,834,859,97,781,859,91,879,880,100,817,859,95,612,859,71,792,880,90,748,880,85,405,859,47,880,827,106,18,18,708,880,81,595,880,68,41,880,5,783,880,89,538,880,61,0,805,0,62,880,7,6
2023,NPH,Northwick Park Hospital,England,315,154,301,51,232,301,77,184,301,61,128,184,70,120,301,40,91,120,76,133,133,100,7,58,12,91,110,83,29,29,100,234,300,78,12,300,4,308,315,98,291,315,92,297,301,99,218,301,72,314,315,100,280,301,93,216,301,72,310,315,98,308,315,98,133,301,44,315,299,105,11,20,277,315,88,230,315,73,13,315,4,305,315,97,296,315,94,197,295,67,12,315,4,3
2023,NSE,Northumbria Specialist Emergency Care Hospital,England,676,519,662,78,661,662,100,272,662,41,260,272,96,392,662,59,345,392,88,382,393,97,28,121,23,188,205,92,18,21,86,533,653,82,96,650,15,629,676,93,622,676,92,656,662,99,645,662,97,673,676,100,656,662,99,456,662,69,669,676,99,665,676,98,460,662,70,676,711,95,7,20,649,676,96,496,676,73,22,676,3,556,676,82,322,676,48,378,612,62,47,676,7,5
2023,NTG,University Hospital of North Tees,England,408,212,390,54,284,390,73,87,390,22,44,87,51,305,390,78,117,305,38,197,205,96,16,72,22,98,148,66,15,18,83,280,389,72,70,399,18,403,408,99,375,408,92,380,390,97,255,390,65,408,408,100,343,390,88,284,390,73,406,408,100,406,408,100,167,390,43,408,403,101,15,15,343,408,84,299,408,73,8,408,2,396,408,97,246,408,60,129,384,34,20,408,5,3
