Hospital NHFD code,Hospital name,"When patients present to your ED with a new hip fracture, what type of ward would they normally be placed on until they go to theatre for their hip operation?",Other,"If patients with hip fracture have been started on oral osteoporosis treatment during their admission, how do you support them, so that you know they are able to continue this after discharge?",Are you aware of the requirement to record Peri-Prosthetic Femoral Fracture (PPFF) in the mandatory national audit (NHFD)? ,Do you routinely input details of patients sustaining PPFF into the NHFD?,"If no, why not?","In your hospital, will a senior (ST3+) orthogeriatrician routinely try to review all patients admitted with a PPFF?",How many consultant orthopaedic surgeons or SAS grade surgeons are there within in your hospital who operate on trauma patients when required?,Around a THR: How many consultant orthopaedic surgeons or SAS grade surgeons within your hospital would feel comfortable performing/supervising both a revision and fixation of a PPFF? ,Around a TKR: How many consultant orthopaedic surgeons or SAS grade surgeons within your hospital would feel comfortable performing/supervising both a revision and fixation of a PPFF? ,Around a THR: Do you have a formal process whereby a specialist hip and/or knee surgeon is available to operate on/supervise a PPFF at least every other weekday (Monday to Friday) such as a PPFF rota? ,Around a TKR: Do you have a formal process whereby a specialist hip and/or knee surgeon is available to operate on/supervise a PPFF at least every other weekday (Monday to Friday) such as a PPFF rota? ,"Around a THR: Do you have at least one nominated, dedicated theatre list for urgent primary, urgent revision or periprosthetic fractures each week? ","Around a TKR: Do you have at least one nominated, dedicated theatre list for urgent primary, urgent revision or periprosthetic fractures each week? ",PPFF around a THR: Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery? ,PPFF around a THR: How frequently are patients transferred?,PPFF around a THR: Why are patients transferred?,PPFF around a THR: Are patients transferred directly from your emergency department?,PPFF around a THR: Which hospital do you transfer these patients to?,PPFF around a TKR: Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery?,PPFF around a TKR: How frequently are patients transferred?,PPFF around a TKR: Why are patients transferred?,PPFF around a TKR: Are patients transferred directly from your emergency department?,PPFF around a TKR: Which hospital do you transfer these patients to?,Patients with Hip Fracture (not PPFF): Do you transfer patients from your department to another T&O department at another site/hospital/Trust for definitive surgery?,Patients with Hip Fracture (not PPFF): How frequently are patients transferred?,Patients with Hip Fracture (not PPFF): Why are patients transferred?,Patients with Hip Fracture (not PPFF): Are patients transferred directly from your emergency department?,Patients with Hip Fracture (not PPFF): Which hospital do you transfer these patients to?,Patients with a PPFF around a THR: Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with a PPFF around a THR: Does this follow a formalised process/policy or on an ad hoc basis?,Patients with a PPFF around a THR: Where do you receive patients from?,Patients with a PPFF around a TKR: Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with a PPFF around a TKR: Does this follow a formalised process/policy or on an ad hoc basis?,Patients with a PPFF around a TKR: Where do you receive patients from?,Patients with Hip Fracture (not PPFF): Do you receive transfers from a T&O department at another site/hospital/Trust for definitive surgery?,Patients with Hip Fracture (not PPFF): Does this follow a formalised process/policy or on an ad hoc basis?,Patients with Hip Fracture (not PPFF): Where do you receive them from?,For THR: Do you have a local revision MDT (within hospital) for revision arthroplasty (all revisions and not just PPFF)?,For TKR: Do you have a local revision MDT (within hospital) for revision arthroplasty (all revisions and not just PPFF)?,For THR: Do you participate in a regional revision MDT (outside your hospital) for revision arthroplasty (all revisions and not just PPFF)?,For TKR: Do you participate in a regional revision MDT (outside your hospital) for revision arthroplasty (all revisions and not just PPFF),For hips: Do you routinely discuss all PPFF with other sub-specialty surgeons in your hospital either in your local MDT or by other means (formally or informally)?,For knees: Do you routinely discuss all PPFF with other sub-specialty surgeons in your hospital either in your local MDT or by other means (formally or informally)?,For hips: Do you routinely discuss all PPFF in your regional revision MDT (if you have one)?,For knees: Do you routinely discuss all PPFF in your regional revision MDT (if you have one)?,"Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Surgeon availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Theatre availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Kit availability","Data in the NHFD 2020 annual report suggest that theatre within 36 hours was not achieved for most PPFF. In your hospital, how would you rank the following contributing factors as reasons for delay (1-4 or NA; 1 being the most frequent cause for delay): Patient optimisation",Case scenario: How would you manage this patient?,"Case scenario: If you selected revision surgery, (or a combination) what type of implant would you use? (Please select one)",Case scenario: Do you have the system selected above “on the shelf” or would you require loan kit?,"Case scenario: If you selected open reduction and internal fixation (or a combination), what type of plate would you use (brand and name)? ",Case scenario: Do you have the system selected above “on the shelf” or would you require loan kit?,Case scenario: Would you permit the patient to weight bear the day after surgery? (Please select one),Case scenario: Would the operation be performed in your own hospital?,Case scenario: Who would this operation be performed by? (Select one),Case scenario: Would you routinely aspirate prior to revision or fixation?
BNT,Barnet General Hospital,Orthopaedic/trauma ward,,They are routinely followed-up through an arrangement with our local FLS,Yes,Yes,,Yes,10,4,4,Yes,Yes,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,No,No,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,1,4,2,3,A combination of both revision and fixation,"An uncemented, tapered fluted modular cementless prosthesis",On the shelf,Zimmer NCB - please note that it is impossible to expand the x-ray (it says I'm not authorised to view the image) so your answers to this section will be of doubtful validity,On the shelf,Partial weight bearing,Yes on the same site,Hip specialist with revision practice,No
BOL,Royal Bolton Hospital,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,14,4,5,Yes,Yes,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Cases post-operatively (XR review),Cases post-operatively (XR review),2,1,NA,3,Open reduction and internal fixation with existing stem,,,Zimmer NCB,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BRD,Bradford Royal Infirmary,Orthopaedic/trauma ward,,They are routinely reviewed in an orthogeriatric or bone clinic (or similar),Yes,Yes,,Yes,12,6,8,Yes,Yes,No,No,No,,,,,No,,,,,No,,,,,Yes,Ad hoc basis,Airedale General Hospital (AIR),Yes,Ad hoc basis,Airedale General Hospital (AIR),No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Not routinely discussed,Not routinely discussed,4,1,2,3,Open reduction and internal fixation with existing stem,,,NCB zimmer,Loan kit from company,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BRG,Bronglais General Hospital,Orthopaedic/trauma ward,,The GP is routinely asked to provide such support,Yes,Yes,,Yes,6,0,0,Yes,Yes,No,No,Yes,Exclusively,No local expertise,No,West Wales General (WWG),Yes,Exclusively,No local expertise,No,West Wales General (WWG),No,,,,,No,,,No,,,Yes,Ad hoc basis,West Wales General (WWG),No,No,No,No,Not routinely discussed,Not routinely discussed,Not routinely discussed,Not routinely discussed,NA,NA,NA,NA,A combination of both revision and fixation,Long stem cemented prosthesis,Loan from other local hospital,NCB,Loan kit from company,Partial weight bearing,No would be transferred to a local specialist centre,Hip specialist with revision practice,No
BRI,Bristol Royal Infirmary,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,14,3,4,Yes,Yes,No,No,Yes,Occasionally,We only have facilities for straightforward cement-in-cement revision as all our elective arthroplasty is on a separate site (Southmead Hospital),No,Southmead Hospital (FRY),Yes,Occasionally,We can perform distal femoral replacement TKR but otherwise are limited in our revision capacity as our elective work is on another site,No,Southmead Hospital (FRY),Yes,Occasionally,We transfer patients that require renal dialysis,No,Southmead Hospital (FRY),Yes,Ad hoc basis,Weston General Hospital (WGH),Yes,Ad hoc basis,Weston General Hospital (WGH),Yes,Ad hoc basis,Weston General Hospital (WGH),No,No,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),3,2,1,4,A combination of both revision and fixation,Long stem cemented prosthesis,On the shelf,Zimmer NCB or S&N Periloc,On the shelf,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BRO,Princess Royal University Hospital (Bromley),Another type of ward,COVID pending ward,The GP is routinely asked to provide such support,Yes,Yes,,No,15,6,4,No,No,No,No,No,,,,,No,,,,,No,,,,,No,,,No,,,No,,,No,No,No,Yes,Not routinely discussed,Not routinely discussed,Not routinely discussed,Not routinely discussed,1,2,4,3,Revision surgery,"An uncemented, tapered fluted modular cementless prosthesis",On the shelf,,,Yes fully weight bearing,Yes on the same site,Hip specialist with revision practice,No
BRT,Queens Hospital,Orthopaedic/trauma ward,,They are routinely reviewed in an orthogeriatric or bone clinic (or similar),Yes,Yes,,Yes,13,0,0,No,No,No,No,Yes,Occasionally,If requires revision surgery,No,Royal Derby Hospital (DER),Yes,Occasionally,If requires revision surgery,No,Royal Derby Hospital (DER),No,,,,,No,,,No,,,No,,,No,No,No,No,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Not routinely discussed,Not routinely discussed,2,3,4,1,Open reduction and internal fixation with existing stem,,,Syntheses DCP,On the shelf,Yes fully weight bearing,Yes on the same site,General on call T&O surgeon,No
CGH,Conquest Hospital,Shared-care orthopaedic/orthogeriatric ward,,They are routinely followed-up through an arrangement with our local FLS,Yes,Yes,,Yes,18,3,4,No,No,No,No,No,,,,,No,,,,,Yes,Occasionally,If patient has haemodialysis ,Yes,Royal Sussex County Hospital (RSC),No,,,No,,,Yes,Formalised process/policy,Eastbourne DGH (DGE),Yes,No,No,No,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Not routinely discussed,Not routinely discussed,1,3,4,2,Open reduction and internal fixation with existing stem,,,Smyth & Nephew,On the shelf,Yes fully weight bearing,Yes on the same site,General on call T&O surgeon,No
CHE,Chesterfield Royal,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,13,3,3,No,No,No,No,Yes,Occasionally,If they are a dialysis patient,No,Northern General Hospital (NGS),Yes,Occasionally,If they are a dialysis patient,No,Northern General Hospital (NGS),Yes,Occasionally,If they are a dialysis patient,No,Northern General Hospital (NGS),No,,,No,,,No,,,Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning),Cases pre-operatively (surgical planning),Not routinely discussed,Not routinely discussed,2,1,4,3,Open reduction and internal fixation with existing stem,,,Depuy Synthes Proximal Femoral Plate,Loan kit from company,Partial weight bearing,Yes on the same site,Hip specialist with revision practice,Yes
CLW,Glan Clwyd Hospital,Orthopaedic/trauma ward,,They are routinely contacted by phone to check/support persistence,Yes,Yes,,Yes,12,12,12,Yes,Yes,Yes,Yes,No,,,,,No,,,,,No,,,,,Yes,Formalised process/policy,"Maelor Hospital (WRX),Ysbyty Gwynedd Hospital (GWY)",Yes,Formalised process/policy,"Maelor Hospital (WRX),Ysbyty Gwynedd Hospital (GWY)",Yes,Formalised process/policy,"Maelor Hospital (WRX),Ysbyty Gwynedd Hospital (GWY)",Yes,Yes,Yes,Yes,Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),Cases pre-operatively (surgical planning);Cases post-operatively (XR review),2,1,3,4,Open reduction and internal fixation with existing stem,,,Supercable plate system,On the shelf,Partial weight bearing,Yes on the same site,General on call T&O surgeon,Yes
