Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),Admitted to orthopaedic ward within 4 hours with a nerve block (n),Admitted to orthopaedic ward within 4 hours with a nerve block (d),Admitted to orthopaedic ward within 4 hours with a nerve block (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Received suitable bone medication (n),Received suitable bone medication (d),Received suitable bone medication (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2024,SCA,Scarborough General Hospital,England,362,163,349,47,257,349,74,212,349,61,101,212,48,133,349,38,35,133,26,191,193,99,17,60,28,39,53,74,31,33,94,9,348,3,10,348,3,264,323,82,270,362,75,211,362,58,329,349,94,242,349,69,345,362,95,228,349,65,178,349,51,326,362,90,335,362,93,105,362,29,70,349,20,362,325,111,11,17,326,362,90,278,362,77,12,362,3,321,362,89,0,362,0,0,342,0,22,362,6,6
2024,SCM,James Cook University Hospital,England,475,295,452,65,439,452,97,312,452,69,107,312,34,147,452,33,28,147,19,254,255,100,26,99,26,110,120,92,23,23,100,51,456,11,69,456,15,371,451,82,441,475,93,463,475,98,443,452,98,359,452,79,470,475,99,435,452,96,375,452,83,469,475,99,469,475,99,146,475,31,272,452,60,475,508,94,12,21,449,475,95,350,475,74,18,475,4,469,475,99,0,475,0,57,444,13,23,475,5,4
2024,SCU,Scunthorpe General Hospital,England,268,118,265,45,220,265,83,106,265,40,55,106,52,163,265,62,90,163,55,141,143,99,10,48,21,42,53,79,48,51,94,37,262,14,72,262,28,200,259,77,266,268,99,245,268,91,265,265,100,215,265,81,268,268,100,265,265,100,178,265,67,266,268,99,262,268,98,27,268,10,113,265,43,268,245,109,15,15,212,268,79,152,268,57,*,270,*,246,268,92,231,268,86,85,250,34,18,268,7,6
2024,SEH,Southend Hospital,England,452,248,444,56,154,444,35,222,444,50,128,222,58,220,444,50,136,220,62,224,233,96,27,98,28,50,61,82,19,23,83,18,432,4,29,432,7,346,442,78,443,452,98,412,452,91,438,444,99,392,444,88,438,452,97,438,444,99,325,444,73,451,452,100,444,452,98,401,452,89,224,444,51,452,479,94,15,16,447,452,99,380,452,84,9,452,2,440,452,97,82,452,18,205,425,48,26,452,6,5
2024,SGH,Southampton General Hospital,England,783,291,767,38,307,767,40,491,767,64,404,491,82,284,767,37,214,284,75,398,433,92,24,94,26,*,85,*,37,39,95,43,756,6,82,756,11,429,623,69,349,783,45,664,783,85,743,767,97,480,767,63,777,783,99,266,767,35,211,767,28,767,783,98,764,783,98,460,783,59,93,767,12,783,836,94,17,19,688,783,88,543,783,69,25,783,3,768,783,98,483,783,62,419,735,57,24,783,3,3
2024,SHC,St Helier Hospital,England,405,372,398,94,337,398,85,338,398,85,256,338,76,59,398,15,*,60,*,204,212,96,6,74,8,33,43,77,12,12,100,*,380,*,*,380,*,307,398,77,396,405,98,402,405,99,393,398,99,290,398,73,405,405,100,395,398,99,314,398,79,405,405,100,405,405,100,251,405,62,367,398,92,405,452,90,21,24,382,405,94,316,405,78,20,405,5,385,405,95,101,405,25,93,368,25,21,405,5,4
2024,SHH,Stepping Hill Hospital,England,418,168,403,42,226,403,56,370,403,92,283,370,77,34,403,8,16,34,47,197,199,99,16,86,19,*,15,*,25,26,96,*,395,*,*,395,*,324,398,81,390,418,93,274,418,66,387,403,96,284,403,71,410,418,98,355,403,88,272,403,68,411,418,98,413,418,99,71,418,17,105,403,26,418,432,97,22,23,401,418,96,270,418,65,8,418,2,401,418,96,352,418,84,0,394,0,21,418,5,4
2024,SLF,Salford Royal,England,319,184,318,58,265,318,83,258,318,81,220,258,85,63,318,20,54,63,86,127,129,98,31,50,62,51,122,42,22,22,100,10,309,3,18,309,6,218,311,70,316,319,99,309,319,97,310,318,98,208,318,65,319,319,100,313,318,98,240,318,76,318,319,100,318,319,100,124,319,39,176,318,55,319,319,100,17,28,300,319,94,244,319,77,10,319,3,318,319,100,131,319,41,126,290,43,20,319,6,4
2024,SMV,Stoke Mandeville Hospital,England,369,211,361,58,348,361,96,246,361,68,238,246,97,124,361,34,118,124,95,214,215,100,27,83,33,79,92,86,21,23,91,10,358,3,13,358,4,294,359,82,355,369,96,329,369,89,355,361,98,288,361,80,362,369,98,351,361,97,268,361,74,366,369,99,363,369,98,228,369,62,181,361,50,369,409,90,17,23,351,369,95,293,369,79,8,369,2,342,369,93,342,369,93,124,339,37,28,369,8,4
2024,SOU,Southport and Formby District General,England,391,244,365,67,362,365,99,351,365,96,62,351,18,21,365,6,8,21,38,202,209,97,18,104,17,29,46,63,23,29,79,7,376,2,23,376,6,264,363,73,381,391,97,167,391,43,362,365,99,361,365,99,390,391,100,349,365,96,248,365,68,390,391,100,235,391,60,149,391,38,109,365,30,391,325,120,13,23,384,391,98,302,391,77,12,391,3,391,391,100,146,391,37,256,373,69,21,391,5,6
2024,SPH,St Peter's Hospital,England,419,285,409,70,325,409,80,387,409,95,289,387,75,49,409,12,10,49,20,220,246,89,24,112,21,*,70,*,23,23,100,*,410,*,6,408,2,227,407,56,408,419,97,409,419,98,407,409,100,385,409,94,418,419,100,408,409,100,307,409,75,417,419,100,413,419,99,283,419,68,277,409,68,419,396,106,19,19,344,419,82,264,419,63,7,419,2,414,419,99,*,420,*,148,396,37,19,419,5,4
2024,STD,South Tyneside District Hospital,England,201,137,194,71,54,194,28,31,194,16,21,31,68,165,194,85,134,165,81,109,111,98,8,45,18,*,*,*,*,*,*,43,192,22,50,192,26,149,191,78,189,201,94,185,201,92,184,194,95,163,194,84,201,201,100,182,194,94,130,194,67,200,201,100,194,201,97,87,201,43,115,194,59,201,232,87,17,19,187,201,93,165,201,82,6,201,3,168,201,84,148,201,74,141,191,74,9,201,4,5
2024,STH,St Thomas Hospital,England,252,114,249,46,195,249,78,134,249,54,90,134,67,121,249,49,38,121,31,117,136,86,25,66,38,34,49,69,17,17,100,25,244,10,29,244,12,173,249,70,248,252,98,228,252,91,247,249,99,231,249,93,251,252,100,248,249,100,181,249,73,250,252,99,250,252,99,179,252,71,102,249,41,252,254,99,16,17,244,252,97,221,252,88,7,252,3,245,252,97,72,252,29,80,244,33,9,252,4,4
2024,STM,"St Marys Hospital, Paddington",England,191,107,189,57,107,189,57,86,189,46,68,86,79,109,189,58,73,109,67,96,96,100,7,37,19,27,35,77,20,20,100,7,173,4,8,173,5,140,181,77,154,191,81,154,191,81,183,189,97,110,189,58,178,191,93,141,189,75,116,189,61,187,191,98,189,191,99,90,191,47,70,189,37,191,209,91,8,20,153,191,80,124,191,65,11,191,6,184,191,96,102,191,53,82,182,45,7,191,4,3
2024,STO,University Hospital of North Staffordshire,England,811,394,749,53,270,749,36,507,749,68,322,507,64,253,749,34,131,253,52,430,431,100,20,158,13,28,30,93,30,36,83,9,775,1,17,775,2,603,749,81,745,811,92,706,811,87,737,749,98,707,749,94,731,811,90,742,749,99,554,749,74,792,811,98,787,811,97,189,811,23,323,749,43,811,689,118,18,18,678,811,84,599,811,74,32,811,4,777,811,96,0,811,0,*,765,*,43,811,5,3
2024,STR,St Richards Hospital,England,415,276,409,68,181,409,44,395,409,97,18,395,5,165,409,40,0,165,0,240,244,98,29,71,41,33,54,61,18,19,95,13,400,3,18,400,5,328,395,83,356,415,86,381,415,92,391,409,96,342,409,84,408,415,98,343,409,84,280,409,69,405,415,98,381,415,92,365,415,88,219,409,54,415,429,97,18,20,377,415,91,304,415,73,11,415,3,411,415,99,0,415,0,204,382,53,25,415,6,4
2024,SUN,Sunderland Royal Hospital,England,446,340,434,78,361,434,83,256,434,59,183,256,72,176,434,41,130,176,74,239,239,100,6,67,9,111,121,92,21,22,96,29,412,7,40,412,10,356,433,82,427,446,96,441,446,99,431,434,99,413,434,95,442,446,99,427,434,98,291,434,67,442,446,99,438,446,98,378,446,85,335,434,77,446,454,98,20,22,435,446,98,357,446,80,23,446,5,380,446,85,277,446,62,366,414,88,29,446,7,5
2024,TGA,Tameside General Hospital,England,304,157,292,54,292,292,100,44,292,15,18,44,41,251,292,86,37,251,15,134,150,89,21,84,25,19,50,38,6,8,75,42,285,15,46,285,16,160,290,55,294,304,97,291,304,96,286,292,98,258,292,88,302,304,99,289,292,99,249,292,85,300,304,99,300,304,99,124,304,41,152,292,52,304,277,110,23,31,288,304,95,227,304,75,10,304,3,301,304,99,*,305,*,98,261,38,24,304,8,8
2024,TLF,"Princess Royal Hospital, Telford",England,253,96,238,40,133,238,56,201,238,85,143,201,71,44,238,19,9,44,21,124,126,98,15,61,25,15,34,44,9,10,90,*,240,*,*,240,*,138,237,58,239,253,95,209,253,83,231,238,97,201,238,85,242,253,96,234,238,98,156,238,66,230,253,91,251,253,99,169,253,67,84,238,35,253,262,97,15,15,164,253,65,112,253,44,7,253,3,231,253,91,0,253,0,0,246,0,12,253,5,5
2024,TOR,Torbay Hospital,England,498,323,492,66,387,492,79,333,492,68,306,333,92,175,492,36,135,175,77,289,290,100,35,121,29,97,139,70,29,29,100,61,489,13,68,489,14,355,484,73,475,498,95,486,498,98,477,492,97,401,492,82,495,498,99,474,492,96,388,492,79,495,498,99,492,498,99,310,498,62,306,492,62,498,525,95,10,18,488,498,98,407,498,82,9,498,2,493,498,99,0,498,0,175,465,38,24,498,5,5
2024,TUN,Tunbridge Wells Hospital,England,210,137,208,66,32,208,15,20,208,10,7,20,35,189,208,91,23,189,12,108,110,98,12,33,36,0,0,,15,15,100,*,210,*,*,210,*,179,201,89,191,210,91,207,210,99,208,208,100,155,208,75,196,210,93,174,208,84,133,208,64,210,210,100,210,210,100,139,210,66,109,208,52,210,600,35,15,15,148,210,71,131,210,62,*,215,*,206,210,98,0,210,0,0,200,0,13,210,6,14
2024,UCL,University College Hospital,England,121,74,118,63,73,118,62,51,118,43,21,51,41,73,118,62,22,73,30,71,75,95,14,37,38,0,0,,*,*,*,34,114,30,46,114,40,81,105,77,100,121,83,115,121,95,117,118,99,63,118,53,120,121,99,92,118,78,76,118,64,121,121,100,121,121,100,34,121,28,57,118,48,121,127,95,17,18,99,121,82,82,121,68,6,121,5,115,121,95,0,121,0,0,112,0,*,120,*,4
2024,UHC,University Hospital Coventry,England,508,239,489,49,488,489,100,430,489,88,401,430,93,56,489,12,48,56,86,254,256,99,37,139,27,51,64,80,29,35,83,52,496,11,54,496,11,332,465,71,470,508,93,418,508,82,489,489,100,489,489,100,472,508,93,458,489,94,349,489,71,505,508,99,486,508,96,191,508,38,192,489,39,508,560,91,16,19,508,508,100,484,508,95,9,508,2,504,508,99,201,508,40,197,495,40,32,508,6,7
2024,UHN,University Hospital Queens Medical Centre,England,803,428,783,55,571,783,73,540,783,69,521,540,97,244,783,31,233,244,96,400,402,100,23,138,17,190,283,67,40,42,95,20,789,3,22,789,3,574,779,74,757,803,94,745,803,93,776,783,99,657,783,84,798,803,99,757,783,97,535,783,68,781,803,97,788,803,98,515,803,64,397,783,51,803,782,103,16,19,649,803,81,573,803,71,14,803,2,746,803,93,80,803,10,0,746,0,50,803,6,7
2024,UHW,University Hospital of Wales,Wales,558,345,504,69,273,504,54,371,504,74,66,371,18,143,504,28,17,143,12,258,259,100,15,84,18,44,73,60,50,56,89,201,518,39,241,518,47,381,472,81,408,558,73,510,558,91,540,504,107,450,504,89,547,558,98,391,504,78,295,504,59,546,558,98,534,558,96,408,558,73,224,504,44,558,499,112,9,31,525,558,94,403,558,72,38,558,7,489,558,88,0,558,0,145,481,30,39,558,7,6
2024,VIC,Victoria Hospital,England,555,342,538,64,75,538,14,73,538,14,9,73,12,471,538,88,55,471,12,261,270,97,11,75,15,110,159,69,14,15,93,26,547,5,33,547,6,387,500,77,500,555,90,435,555,78,520,538,97,484,538,90,554,555,100,484,538,90,365,538,68,467,555,84,486,555,88,93,555,17,223,538,41,555,503,110,26,27,547,555,99,504,555,91,*,560,*,20,555,4,0,555,0,123,514,24,26,555,5,4
2024,WAR,Warwick Hospital,England,439,308,426,72,355,426,83,172,426,40,81,172,47,266,426,62,40,266,15,224,254,88,23,124,19,54,99,55,9,11,82,20,425,5,70,425,17,248,424,59,428,439,98,427,439,97,426,426,100,419,426,98,431,439,98,423,426,99,319,426,75,435,439,99,434,439,99,368,439,84,301,426,71,439,413,106,14,21,427,439,97,372,439,85,*,440,*,437,439,100,321,439,73,272,416,65,25,439,6,8
2024,WAT,Watford General Hospital,England,481,397,477,83,414,477,87,352,477,74,57,352,16,130,477,27,8,130,6,219,229,96,8,105,8,19,36,53,21,22,96,69,469,15,74,469,16,350,477,73,478,481,99,480,481,100,474,477,99,439,477,92,479,481,100,476,477,100,382,477,80,469,481,98,469,481,98,319,481,66,386,477,81,481,456,106,15,21,467,481,97,380,481,79,*,480,*,458,481,95,*,480,*,348,460,76,23,481,5,6
2024,WDG,Warrington District General Hospital,England,389,99,368,27,348,368,95,314,368,85,167,314,53,57,368,16,26,57,46,180,183,98,14,66,21,28,33,85,19,22,86,0,382,0,*,380,*,293,364,81,364,389,94,323,389,83,360,368,98,216,368,59,386,389,99,362,368,98,299,368,81,380,389,98,377,389,97,233,389,60,83,368,23,389,424,92,19,26,369,389,95,272,389,70,7,389,2,352,389,91,235,389,60,243,351,69,31,389,8,8
2024,WDH,Dorset County Hospital,England,346,234,336,70,53,336,16,231,336,69,11,231,5,107,336,32,*,105,*,217,217,100,31,93,33,17,19,90,14,17,82,13,337,4,26,337,8,253,321,79,296,346,86,232,346,67,325,336,97,225,336,67,319,346,92,242,336,72,205,336,61,321,346,93,325,346,94,124,346,36,125,336,37,346,333,104,14,14,253,346,73,204,346,59,*,345,*,337,346,97,0,346,0,0,326,0,22,346,6,6
2024,WES,Chelsea & Westminster Hospital,England,270,116,254,46,206,254,81,149,254,59,*,150,*,106,254,42,0,106,0,141,141,100,14,52,27,*,10,*,10,12,83,*,265,*,*,265,*,196,248,79,240,270,89,233,270,86,253,254,100,179,254,71,267,270,99,236,254,93,177,254,70,268,270,99,264,270,98,118,270,44,103,254,41,270,239,113,22,22,241,270,89,204,270,76,9,270,3,259,270,96,40,270,15,132,254,52,10,270,4,2
2024,WEX,Wexham Park Hospital,England,457,334,425,79,425,425,100,85,425,20,40,85,47,359,425,85,151,359,42,225,233,97,41,95,43,6,12,50,33,37,89,42,441,10,45,441,10,345,424,81,426,457,93,457,457,100,420,425,99,375,425,88,456,457,100,424,425,100,352,425,83,454,457,99,454,457,99,220,457,48,329,425,77,457,426,107,16,16,429,457,94,330,457,72,15,457,3,398,457,87,268,457,59,264,409,65,43,457,9,7
2024,WGH,Weston General Hospital,England,272,220,270,82,253,270,94,128,270,47,122,128,95,142,270,53,134,142,94,149,149,100,14,50,28,47,65,72,24,25,96,13,258,5,18,258,7,208,269,77,260,272,96,226,272,83,263,270,97,242,270,90,257,272,95,260,270,96,213,270,79,252,272,93,252,272,93,58,272,21,175,270,65,272,309,88,17,18,231,272,85,187,272,69,7,272,3,271,272,100,259,272,95,0,263,0,9,272,3,3
2024,WHC,Whipps Cross Hospital,England,569,280,498,56,169,498,34,437,498,88,288,437,66,112,498,23,29,112,26,225,235,96,*,115,*,16,28,57,29,32,91,11,534,2,12,534,2,347,489,71,518,569,91,547,569,96,532,498,107,430,498,86,555,569,98,512,498,103,370,498,74,552,569,97,555,569,98,404,569,71,253,498,51,569,556,102,17,19,486,569,85,429,569,75,12,569,2,505,569,89,120,569,21,94,511,18,22,569,4,4
2024,WHH,William Harvey Hospital,England,521,374,512,73,351,512,69,105,512,21,61,105,58,412,512,81,245,412,60,244,263,93,22,111,20,112,139,81,58,60,97,31,512,6,36,512,7,361,510,71,507,521,97,513,521,99,385,512,75,365,512,71,516,521,99,506,512,99,402,512,79,519,521,100,515,521,99,387,521,74,269,512,53,521,513,102,16,16,494,521,95,421,521,81,*,520,*,515,521,99,0,521,0,394,494,80,28,521,5,7
2024,WHI,Whiston Hospital,England,451,232,450,52,437,450,97,320,450,71,162,320,51,132,450,29,51,132,39,251,252,100,14,101,14,60,74,81,27,28,96,24,440,6,29,440,7,338,439,77,440,451,98,405,451,90,449,450,100,440,450,98,439,451,97,434,450,96,350,450,78,438,451,97,432,451,96,86,451,19,203,450,45,451,465,97,18,23,412,451,91,322,451,71,8,451,2,15,451,3,0,451,0,0,413,0,31,451,7,6
2024,WHT,Whittington Hospital,England,187,149,184,81,91,184,50,85,184,46,66,85,78,99,184,54,53,99,54,84,99,85,15,40,38,30,62,48,10,10,100,36,182,20,43,182,24,112,183,61,182,187,97,186,187,100,180,184,98,148,184,80,180,187,96,181,184,98,145,184,79,183,187,98,186,187,100,129,187,69,142,184,77,187,145,129,13,16,158,187,85,138,187,74,*,185,*,178,187,95,72,187,39,67,179,37,11,187,6,4
2024,WIR,Arrowe Park Hospital,England,538,360,526,68,445,526,85,488,526,93,347,488,71,41,526,8,15,41,37,267,267,100,10,92,11,0,*,*,34,40,85,*,520,*,9,519,2,420,524,80,507,538,94,453,538,84,520,526,99,488,526,93,538,538,100,499,526,95,360,526,68,513,538,95,513,538,95,16,538,3,287,526,55,538,505,107,19,19,443,538,82,353,538,66,16,538,3,514,538,96,0,538,0,0,502,0,36,538,7,6
2024,WMH,Manor Hospital,England,487,192,462,42,297,462,64,369,462,80,189,369,51,112,462,24,36,112,32,231,252,92,8,81,10,74,119,62,20,24,83,67,475,14,71,475,15,324,457,71,459,487,94,439,487,90,459,462,99,374,462,81,367,487,75,450,462,97,364,462,79,463,487,95,454,487,93,73,487,15,127,462,28,487,445,109,19,19,486,487,100,433,487,89,12,487,3,436,487,90,0,487,0,0,436,0,43,487,9,6
2024,WMU,West Middlesex University Hospital,England,210,151,197,77,55,197,28,83,197,42,*,85,*,148,197,75,10,148,7,96,99,97,*,40,*,*,*,*,16,19,84,79,204,39,83,204,41,148,196,76,197,210,94,210,210,100,190,197,96,162,197,82,209,210,100,197,197,100,155,197,79,209,210,100,207,210,99,188,210,90,146,197,74,210,248,85,18,20,205,210,98,177,210,84,*,215,*,210,210,100,156,210,74,157,200,79,9,210,4,4
2024,WRC,Worcestershire Royal Hospital,England,801,322,779,41,314,779,40,524,779,67,452,524,86,284,779,37,203,284,72,411,415,99,32,156,21,57,81,70,39,46,85,*,700,*,6,698,1,613,776,79,775,801,97,204,801,26,767,779,99,480,779,62,786,801,98,738,779,95,539,779,69,595,801,74,538,801,67,245,801,31,86,779,11,801,794,101,14,17,630,801,79,555,801,69,25,801,3,786,801,98,0,801,0,0,740,0,61,801,8,4
2024,WRG,Worthing Hospital,England,491,266,474,56,171,474,36,469,474,99,6,469,1,42,474,9,0,42,0,286,288,99,26,121,22,81,174,47,*,10,*,30,481,6,40,481,8,280,459,61,475,491,97,488,491,99,473,474,100,371,474,78,490,491,100,447,474,94,357,474,75,487,491,99,456,491,93,329,491,67,242,474,51,491,491,100,21,23,405,491,83,280,491,57,10,491,2,487,491,99,218,491,44,104,450,23,32,491,7,8
2024,WRX,Maelor Hospital,Wales,279,125,267,47,174,267,65,208,267,78,*,210,*,61,267,23,0,61,0,141,145,97,7,50,14,68,94,72,14,16,88,17,267,6,23,267,9,191,256,75,227,279,81,199,279,71,265,267,99,250,267,94,266,279,95,225,267,84,142,267,53,267,279,96,234,279,84,111,279,40,70,267,26,279,258,108,19,38,268,279,96,206,279,74,12,279,4,263,279,94,264,279,95,93,227,41,19,279,7,5
2024,WSH,West Suffolk Hospital,England,419,377,409,92,408,409,100,398,409,97,153,398,38,11,409,3,0,11,0,216,216,100,23,95,24,42,53,79,36,37,97,29,410,7,33,410,8,324,409,79,410,419,98,419,419,100,406,409,99,333,409,81,419,419,100,408,409,100,329,409,80,419,419,100,419,419,100,331,419,79,375,409,92,419,448,94,12,17,406,419,97,362,419,86,*,420,*,418,419,100,193,419,46,213,404,53,18,419,4,3
2024,WWG,West Wales General,Wales,339,175,331,53,65,331,20,133,331,40,94,133,71,201,331,61,135,201,67,197,203,97,8,36,22,15,36,42,13,29,45,34,320,11,40,320,13,202,276,73,182,339,54,85,339,25,284,331,86,240,331,73,306,339,90,176,331,53,154,331,47,165,339,49,277,339,82,142,339,42,37,331,11,339,353,96,22,30,314,339,93,234,339,69,10,339,3,323,339,95,68,339,20,40,278,14,20,339,6,6
2024,WYB,Withybush General Hospital,Wales,244,108,138,78,42,138,30,64,138,46,63,64,98,77,138,56,69,77,90,68,74,92,8,28,29,14,21,67,*,*,*,14,221,6,23,221,10,95,127,75,114,244,47,193,244,79,186,138,135,162,138,117,132,244,54,107,138,78,80,138,58,218,244,89,216,244,89,158,244,65,63,138,46,244,284,86,15,23,202,244,83,167,244,68,11,244,5,131,244,54,11,244,5,6,192,3,15,244,6,7
2024,WYT,Wythenshawe Hospital,England,546,414,540,77,307,540,57,333,540,62,183,333,55,217,540,40,77,217,36,257,269,96,14,103,14,82,126,65,33,33,100,25,436,6,27,436,6,396,540,73,540,546,99,541,546,99,538,540,100,407,540,75,546,546,100,538,540,100,394,540,73,544,546,100,541,546,99,281,546,52,412,540,76,546,546,100,12,29,498,546,91,402,546,74,16,546,3,535,546,98,0,546,0,237,503,47,26,546,5,3
2024,YDH,York District Hospital,England,451,270,441,61,38,441,9,226,441,51,170,226,75,215,441,49,107,215,50,253,261,97,20,107,19,88,150,59,14,15,93,20,428,5,45,428,11,278,437,64,425,451,94,406,451,90,440,441,100,406,441,92,449,451,100,423,441,96,325,441,74,447,451,99,444,451,98,292,451,65,243,441,55,451,450,100,15,20,436,451,97,376,451,83,16,451,4,436,451,97,54,451,12,26,426,6,24,451,5,5
2024,YEO,Yeovil District Hospital,England,281,204,277,74,180,277,65,202,277,73,158,202,78,92,277,33,64,92,70,168,168,100,7,43,16,*,*,*,18,18,100,53,264,20,56,264,21,231,268,86,241,281,86,236,281,84,263,277,95,217,277,78,262,281,93,231,277,83,147,277,53,279,281,99,252,281,90,217,281,77,142,277,51,281,328,86,16,21,275,281,98,235,281,84,14,281,5,276,281,98,0,281,0,158,268,59,9,281,3,3
