Year,Site code,Site name,Nation,Number of cases,"Surgery on day of, or day after, admission (n)","Surgery on day of, or day after, admission (d)","Surgery on day of, or day after, admission (%)",Surgery supervised by consultant surgeon and anaesthetist (n),Surgery supervised by consultant surgeon and anaesthetist (d),Surgery supervised by consultant surgeon and anaesthetist (%),General anaesthetic (n),General anaesthetic (d),General anaesthetic (%),General anaesthetic and nerve block (of all GA)(n),General anaesthetic and nerve block (of all GA) (d),General anaesthetic and nerve block (of all GA) (%),Spinal anaesthetic (n),Spinal anaesthetic (d),Spinal anaesthetic (%),Spinal anaesthetic and nerve block (of all SA) (n),Spinal anaesthetic and nerve block (of all SA) (d),Spinal anaesthetic and nerve block (of all SA) (%),Proportion of arthroplasties which are cemented (n),Proportion of arthroplasties which are cemented (d),Proportion of arthroplasties which are cemented (%),Eligible displaced intracapsular fractures treated with THR (n),Eligible displaced intracapsular fractures treated with THR (d),Eligible displaced intracapsular fractures treated with THR (%),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (n),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (d),Intertrochanteric fractures (excl. reverse oblique) treated with SHS (%),Subtrochanteric fractures treated with an IM nail (n),Subtrochanteric fractures treated with an IM nail (d),Subtrochanteric fractures treated with an IM nail (%),NICE compliant surgery (n),NICE compliant surgery (d),NICE compliant surgery (%),Admitted to orthopaedic ward within 4 hours (n),Admitted to orthopaedic ward within 4 hours (d),Admitted to orthopaedic ward within 4 hours (%),Mental test score recorded on admission (n),Mental test score recorded on admission (d),Mental test score recorded on admission (%),Perioperative medical assessment (n),Perioperative medical assessment (d),Perioperative medical assessment (%),Physiotherapy assessment by the day after surgery (n),Physiotherapy assessment by the day after surgery (d),Physiotherapy assessment by the day after surgery (%),Mobilised out of bed by the day after surgery (n),Mobilised out of bed by the day after surgery (d),Mobilised out of bed by the day after surgery (%),Nutritional risk assessment (n),Nutritional risk assessment (d),Nutritional risk assessment (%),Delirium assessment (n),Delirium assessment (d),Delirium assessment (%),Not delirious when tested post-op. (n),Not delirious when tested post-op. (d),Not delirious when tested post-op. (%),Received falls assessment (n),Received falls assessment (d),Received falls assessment (%),Received bone health assessment (n),Received bone health assessment (d),Received bone health assessment (%),Met best practice criteria (n),Met best practice criteria (d),Met best practice criteria (%),Case ascertainment: total cases compared to last year (n),Case ascertainment: total cases compared to last year (d),Case ascertainment: total cases compared to last year (%),Acute length of stay (days),Overall hospital length of stay (days),Documented final discharge destination (n),Documented final discharge destination (d),Documented final discharge destination (%),Discharge to original residence within 120 days (n),Discharge to original residence within 120 days (d),Discharge to original residence within 120 days (%),Hip fractures which were sustained as an inpatient (n),Hip fractures which were sustained as an inpatient (d),Hip fractures which were sustained as an inpatient (%),Documented not to have developed a pressure ulcer (n),Documented not to have developed a pressure ulcer (d),Documented not to have developed a pressure ulcer (%),Documented not to have had a reoperation within 120 days (n),Documented not to have had a reoperation within 120 days (d),Documented not to have had a reoperation within 120 days (%),120 day follow up (n),120 day follow up (d),120 day follow up (%),Crude 30 day mortality rate (n),Crude 30 day mortality rate (d),Crude 30 day mortality rate (%),Adjusted 30 day mortality rate (%)
2022,ADD,Addenbrooke's Hospital,England,517,289,503,58,401,503,80,414,503,82,350,414,85,84,503,17,51,84,61,269,270,100,29,150,19,137,165,83,24,32,75,334,499,67,96,499,19,515,517,100,508,517,98,483,503,96,449,503,89,517,517,100,498,503,99,436,503,87,515,517,100,516,517,100,274,503,55,517,475,109,16,16,503,517,97,425,517,82,16,517,3,515,517,100,0,517,0,362,494,73,22,517,4,6
2022,AIR,Airedale General Hospital,England,308,216,296,73,158,296,53,143,296,48,121,143,85,161,296,54,122,161,76,156,156,100,12,53,21,79,94,84,19,22,86,229,289,79,27,300,9,295,308,96,254,308,83,294,296,99,205,296,69,308,308,100,291,296,98,207,296,70,295,308,96,307,308,100,174,296,59,308,305,101,16,18,260,308,84,202,308,66,*,308,*,306,308,99,72,308,23,89,285,31,23,308,7,6
2022,WIR,Arrowe Park Hospital,England,495,336,483,70,450,483,93,437,483,91,295,437,68,51,483,11,19,51,37,235,235,100,*,87,*,66,146,45,32,32,100,320,483,66,*,478,*,492,495,99,467,495,94,480,483,99,414,483,86,495,495,100,472,483,98,327,483,68,490,495,99,494,495,100,315,483,65,495,508,97,24,26,438,495,89,311,495,63,14,495,3,490,495,99,*,495,*,0,442,0,39,495,8,7
2022,BNT,Barnet General Hospital,England,352,165,352,47,217,352,62,221,352,63,37,221,17,134,352,38,*,134,*,142,148,96,22,77,29,79,117,68,23,23,100,254,351,72,*,345,*,340,352,97,302,352,86,348,352,99,252,352,72,352,352,100,347,352,99,222,352,63,351,352,100,352,352,100,136,352,39,352,308,114,21,26,298,352,85,231,352,66,*,352,*,349,352,99,0,352,0,0,329,0,16,352,5,5
2022,BAR,Barnsley District General Hospital,England,312,234,304,77,156,304,51,239,304,79,134,239,56,70,304,23,25,70,36,128,149,86,10,57,18,67,123,55,11,11,100,183,300,61,118,302,39,293,312,94,285,312,91,297,304,98,224,304,74,282,312,90,299,304,98,217,304,71,307,312,98,310,312,99,189,304,62,312,279,112,14,18,304,312,97,251,312,80,9,312,3,282,312,90,248,312,80,118,290,41,33,312,11,11
2022,BAS,Basildon Hospital,England,395,168,383,44,254,383,66,133,383,35,42,133,32,251,383,66,85,251,34,150,191,79,26,80,33,69,94,73,24,27,89,256,375,68,*,386,*,388,395,98,368,395,93,378,383,99,329,383,86,395,395,100,378,383,99,256,383,67,389,395,99,389,395,99,155,383,41,395,378,105,18,17,372,395,94,283,395,72,*,395,*,376,395,95,274,395,69,138,358,39,36,395,9,8
2022,BED,Bedford Hospital,England,329,99,318,31,*,318,*,230,318,72,126,230,55,92,318,29,*,92,*,164,170,97,15,69,22,72,130,55,*,9,*,196,311,63,0,320,0,310,329,94,238,329,72,314,318,99,236,318,74,326,329,99,278,318,87,213,318,67,301,329,92,325,329,99,62,318,20,329,281,117,25,26,327,329,99,264,329,80,*,329,*,315,329,96,0,329,0,114,297,38,26,329,8,9
2022,EBH,Birmingham Heartlands Hospital,England,1054,581,1016,57,1020,1016,100,723,1016,71,191,723,26,243,1016,24,50,243,21,385,537,72,49,226,22,82,357,23,17,18,94,412,956,43,62,1023,6,1033,1054,98,1022,1054,97,1021,1016,101,876,1016,86,1054,1054,100,989,1016,97,717,1016,71,1047,1054,99,1045,1054,99,559,1016,55,1054,81,1301,10,17,930,1054,88,586,1054,56,21,1054,2,1035,1054,98,0,1054,0,0,853,0,87,1054,8,10
2022,BRD,Bradford Royal Infirmary,England,300,238,291,82,286,291,98,147,291,51,132,147,90,144,291,50,125,144,87,141,142,99,*,44,*,87,120,73,*,9,*,202,273,74,12,292,4,267,300,89,158,300,53,275,291,95,235,291,81,297,300,99,217,291,75,160,291,55,296,300,99,297,300,99,82,291,28,300,320,94,14,23,295,300,98,242,300,81,*,300,*,268,300,89,140,300,47,144,273,53,21,300,7,6
2022,BRI,Bristol Royal Infirmary,England,293,103,288,36,248,288,86,276,288,96,274,276,99,12,288,4,11,12,92,117,117,100,25,62,40,25,102,25,15,15,100,174,288,60,*,280,*,291,293,99,282,293,96,286,288,99,260,288,90,293,293,100,287,288,100,219,288,76,291,293,99,292,293,100,101,288,35,293,277,106,21,22,269,293,92,209,293,71,*,293,*,278,293,95,274,293,94,177,258,69,26,293,9,8
2022,BRG,Bronglais General Hospital,Wales,152,52,138,38,57,138,41,88,138,64,85,88,97,53,138,38,38,53,72,79,79,100,21,44,48,55,60,92,*,*,*,111,138,80,*,141,*,151,152,99,151,152,99,137,138,99,109,138,79,152,152,100,137,138,99,135,138,98,150,152,99,150,152,99,51,138,37,152,128,119,25,25,144,152,95,114,152,75,11,152,7,147,152,97,110,152,72,107,139,77,*,152,*,6
2022,BFH,Broomfield Chelmsford,England,509,236,506,47,293,506,58,489,506,97,59,489,12,18,506,4,*,18,*,258,260,99,14,103,14,99,193,51,9,10,90,290,483,60,23,468,5,443,509,87,498,509,98,506,506,100,499,506,99,484,509,95,402,506,79,296,506,59,505,509,99,509,509,100,182,506,36,509,423,120,16,17,488,509,96,421,509,83,*,509,*,495,509,97,*,509,*,0,479,0,30,509,6,4
2022,WES,Chelsea & Westminster Hospital,England,246,127,238,53,162,238,68,153,238,64,*,153,*,89,238,37,*,89,*,117,117,100,27,69,39,35,73,48,9,9,100,156,235,66,0,240,0,235,246,96,228,246,93,234,238,98,160,238,67,241,246,98,232,238,98,184,238,77,242,246,98,244,246,99,106,238,45,246,213,116,19,19,233,246,95,192,246,78,*,246,*,234,246,95,163,246,66,143,226,63,10,246,4,6
2022,CHE,Chesterfield Royal,England,493,319,488,65,48,488,10,205,488,42,114,205,56,280,488,57,113,280,40,227,231,98,28,119,24,147,166,89,22,22,100,357,485,74,194,480,40,477,493,97,453,493,92,483,488,99,397,488,81,451,493,92,427,488,88,338,488,69,488,493,99,489,493,99,242,488,50,493,428,115,16,16,444,493,90,375,493,76,11,493,2,488,493,99,205,493,42,198,466,43,36,493,7,9
2022,COL,Colchester General Hospital,England,632,393,619,64,334,619,54,380,619,61,178,380,47,240,619,39,123,240,51,302,310,97,37,162,23,90,168,54,51,54,94,406,617,66,20,614,3,629,632,100,630,632,100,615,619,99,487,619,79,620,632,98,614,619,99,509,619,82,623,632,99,629,632,100,385,619,62,632,528,120,14,15,582,632,92,492,632,78,11,632,2,625,632,99,422,632,67,183,597,31,40,632,6,8
