,PUMA Number,PUMA Name,Latitude,Longitude,Elevation,Time Zone
0,G01000100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",34.65,-87.765,221,-6
1,G01000200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,34.812,-86.803,229,-6
2,G01000301,Huntsville (North) & Madison (East) Cities PUMA,34.759,-86.692,218,-6
3,G01000302,Huntsville City (Central & South) PUMA,34.688,-86.564,251,-6
4,G01000400,DeKalb & Jackson Counties PUMA,34.644,-85.906,415,-6
5,G01000500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,34.421,-86.356,181,-6
6,G01000600,Morgan & Lawrence Counties--Decatur City PUMA,34.489,-87.097,200,-6
7,G01000700,Cullman & Winston Counties PUMA,34.149,-87.098,260,-6
8,G01000800,St. Clair & Blount Counties PUMA,33.836,-86.432,399,-6
9,G01000900,Etowah County PUMA,34.048,-86.034,238,-6
10,G01001100,Calhoun County PUMA,33.772,-85.823,205,-6
11,G01001200,Shelby County PUMA,33.263,-86.678,183,-6
12,G01001301,Birmingham City (West) PUMA,33.49,-86.883,166,-6
13,G01001302,Birmingham City (East) PUMA,33.556,-86.756,184,-6
14,G01001304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",33.714,-86.802,166,-6
15,G01001305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",33.435,-87.081,117,-6
16,G01001400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA",33.835,-87.725,127,-6
17,G01001500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West) PUMA,33.281,-87.757,64,-6
18,G01001600,Tuscaloosa & Northport (Southeast) Cities PUMA,33.201,-87.521,79,-6
19,G01001700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties PUMA",32.589,-87.597,50,-6
20,G01001800,"Chilton, Tallapoosa, Chambers & Coosa Counties PUMA",32.89,-86.052,227,-6
21,G01001900,Lee County--Auburn City PUMA,32.604,-85.353,215,-6
22,G01002000,Montgomery City & Pike Road Town (North) PUMA,32.342,-86.223,82,-6
23,G01002100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties PUMA",32.357,-86.411,48,-6
24,G01002200,Southwest Alabama PUMA,31.6,-87.613,54,-6
25,G01002300,"Coffee, Covington, Butler & Crenshaw Counties PUMA",31.503,-86.376,89,-6
26,G01002400,"Russell, Pike, Barbour, Macon & Bullock Counties PUMA",32.062,-85.57,130,-6
27,G01002500,"Houston, Dale, Geneva & Henry Counties--Dothan City PUMA",31.298,-85.499,115,-6
28,G01002600,Baldwin County PUMA,30.659,-87.746,47,-6
29,G01002701,Mobile City (East) PUMA,30.68,-88.071,10,-6
30,G01002702,Mobile City (West) PUMA,30.692,-88.167,46,-6
31,G01001000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",33.545,-85.742,302,-6
32,G01001303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",33.475,-86.711,176,-6
33,G01002703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City PUMA",30.904,-88.315,69,-6
34,G02000101,Anchorage Municipality (North) PUMA,61.245,-148.997,1115,-9
35,G02000102,Anchorage Municipality (South) PUMA,61.01,-149.318,1025,-9
36,G02000200,Matanuska-Susitna & Kenai Peninsula Boroughs PUMA,61.217,-150.624,0,-9
37,G02000300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska PUMA",62.149,-143.287,2256,-9
38,G02000400,Subsistence Alaska PUMA,63.608,-155.28,318,-9
39,G04000103,Maricopa County--Mesa City (West) PUMA,33.392,-111.851,371,-7
40,G04000104,Maricopa County--Mesa City (South Central) PUMA,33.4,-111.744,390,-7
41,G04000105,Maricopa County--Gilbert Town (North) PUMA,33.347,-111.762,382,-7
42,G04000106,Maricopa County--Chandler City (Northeast) PUMA,33.318,-111.849,368,-7
43,G04000107,Maricopa County--Chandler City (South) PUMA,33.238,-111.831,373,-7
44,G04000108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities PUMA,33.338,-111.934,360,-7
45,G04000109,Maricopa County--Tempe City (North) PUMA,33.413,-111.933,356,-7
46,G04000110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town PUMA,33.541,-111.93,398,-7
47,G04000111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town PUMA,33.724,-111.585,770,-7
48,G04000112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA",33.766,-111.932,662,-7
49,G04000113,Phoenix City (Northeast) PUMA,33.596,-111.986,421,-7
50,G04000114,Phoenix City (Northeast Central) PUMA,33.614,-112.037,449,-7
51,G04000115,Phoenix City (Northwest Central) PUMA,33.615,-112.09,486,-7
52,G04000116,Phoenix City (Uptown) PUMA,33.529,-112.087,353,-7
53,G04000117,Phoenix City (East) PUMA,33.492,-111.994,368,-7
54,G04000118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,33.45,-112.044,334,-7
55,G04000119,Phoenix City (South) PUMA,33.397,-112.074,333,-7
56,G04000120,Phoenix City--Ahwatukee & South Mountain PUMA,33.326,-112.066,494,-7
57,G04000121,Phoenix (Southwest) & Tolleson Cities PUMA,33.41,-112.2,308,-7
58,G04000122,Phoenix City--Maryvale (East) PUMA,33.488,-112.15,337,-7
59,G04000123,Phoenix City--Maryvale (West) PUMA,33.486,-112.23,324,-7
60,G04000124,Maricopa County--Glendale City (South) PUMA,33.532,-112.226,337,-7
61,G04000125,Phoenix City (West) PUMA,33.569,-112.138,372,-7
62,G04000126,Maricopa County--Glendale City (North) PUMA,33.634,-112.188,379,-7
63,G04000127,Maricopa County--Peoria City (South & Central) PUMA,33.608,-112.24,355,-7
64,G04000128,Phoenix City (North) PUMA,33.647,-112.136,404,-7
65,G04000129,Phoenix (Far North) & Peoria (Northwest) Cities PUMA,33.846,-112.163,541,-7
66,G04000130,Maricopa County--El Mirage City & Sun City PUMA,33.626,-112.32,350,-7
67,G04000131,Maricopa County--Surprise City (Central) PUMA,33.621,-112.405,378,-7
68,G04000132,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA",33.451,-112.41,303,-7
69,G04000133,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities PUMA,33.446,-112.32,297,-7
70,G04000134,Maricopa County (West) & Gila River Indian Community (Northwest) PUMA,33.221,-112.799,322,-7
71,G04000201,Pima County (West) PUMA,32.085,-112.095,666,-7
72,G04000202,Tucson (West) & Marana Cities PUMA,32.364,-111.163,655,-7
73,G04000203,Pima County (North Central)--Oro Valley Town PUMA,32.426,-110.899,866,-7
74,G04000204,Pima County (Northeast) PUMA,32.406,-110.667,1865,-7
75,G04000100,Maricopa County--Gilbert (South) & Queen Creek Towns PUMA,33.26,-111.689,410,-7
76,G04000101,Maricopa County--Mesa City (East) PUMA,33.383,-111.641,440,-7
77,G04000102,Maricopa County--Mesa City (North Central) PUMA,33.452,-111.765,397,-7
78,G04000205,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town PUMA,31.983,-110.71,1063,-7
79,G04000206,Tucson City (Northeast) PUMA,32.242,-110.863,766,-7
80,G04000207,Tucson City (Northwest) PUMA,32.264,-110.968,714,-7
81,G04000208,Tucson City (South) PUMA,32.168,-110.955,763,-7
82,G04000209,Tucson City (Southeast) PUMA,32.183,-110.851,821,-7
83,G04000300,Navajo & Apache Counties PUMA,35.388,-109.88,1761,-7
84,G04000400,Coconino County--Flagstaff City PUMA,35.83,-111.774,2076,-7
85,G04000500,Yavapai County PUMA,34.63,-112.574,1848,-7
86,G04000600,Mohave & La Paz Counties--Lake Havasu City PUMA,35.202,-113.83,1247,-7
87,G04000700,Yuma County--Yuma City PUMA,32.774,-113.911,84,-7
88,G04000800,"Gila, Graham, Greenlee & Pinal (East) Counties PUMA",33.303,-110.231,1188,-7
89,G04000803,Pinal County (North)--Apache Junction City PUMA,33.352,-111.321,817,-7
90,G04000805,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities PUMA",32.838,-111.2,723,-7
91,G04000900,Cochise & Santa Cruz Counties--Sierra Vista City PUMA,31.824,-109.926,1888,-7
92,G04000807,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities PUMA",32.802,-111.881,418,-7
93,G05001400,Sebastian & Crawford Counties PUMA,35.403,-94.258,121,-6
94,G05001500,"Logan, Polk, Franklin, Sevier, Howard & Scott Counties PUMA",34.71,-94.025,334,-6
95,G05001600,"Garland, Hot Spring, Clark & Montgomery Counties PUMA",34.359,-93.25,270,-6
96,G05001700,"Jefferson, Grant & Arkansas (Northwest) Counties PUMA",34.285,-92.019,61,-6
97,G05001800,Southeast Arkansas PUMA,33.65,-91.653,55,-6
98,G05001900,South Central Arkansas PUMA,33.477,-92.746,28,-6
99,G05002000,Southwest Arkansas PUMA,33.643,-93.714,86,-6
100,G05001100,Faulkner & Lonoke Counties PUMA,34.7,-91.878,65,-6
101,G05001300,"Pope, Johnson, Yell, Conway & Perry Counties PUMA",35.246,-93.145,97,-6
102,G05000100,Benton County PUMA,36.338,-94.256,377,-6
103,G05000200,Washington County PUMA,35.971,-94.218,416,-6
104,G05000300,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA",36.137,-93.081,399,-6
105,G05000400,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA",35.884,-91.935,193,-6
106,G05000500,"Craighead (West), Greene, Randolph, Lawrence & Clay Counties PUMA",36.16,-90.78,81,-6
107,G05000600,"Crittenden, Mississippi & Craighead (East) Counties PUMA",35.571,-90.194,68,-6
108,G05000700,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA",34.968,-90.832,66,-6
109,G05000800,"White, Jackson, Prairie & Woodruff Counties PUMA",35.208,-91.467,58,-6
110,G05000900,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities PUMA",34.777,-92.304,82,-6
111,G05001000,Pulaski County (Central)--Little Rock City PUMA,34.724,-92.356,101,-6
112,G05001200,Saline County PUMA,34.649,-92.674,154,-6
113,G06003740,Los Angeles County (Central)--Pico Rivera & Montebello Cities PUMA,34.003,-118.099,52,-8
114,G06003741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities PUMA",33.984,-118.165,42,-8
115,G06003714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",33.983,-117.862,219,-8
116,G06003742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA",33.985,-118.223,53,-8
117,G06003743,Los Angeles County (Central)--East Los Angeles PUMA,34.032,-118.17,88,-8
118,G06001500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA",41.405,-121.091,1625,-8
119,G06001700,El Dorado County--El Dorado Hills PUMA,38.786,-120.534,1249,-8
120,G06001901,"Fresno County (West)--Selma, Kerman & Coalinga Cities PUMA",36.479,-120.275,87,-8
121,G06001902,Fresno County (North Central)--Fresno City (North) PUMA,36.846,-119.812,106,-8
122,G06003715,Los Angeles County (East Central)--West Covina City PUMA,34.054,-117.919,125,-8
123,G06003716,Los Angeles County (East Central)--La Puente & Industry Cities PUMA,34.036,-117.969,95,-8
124,G06003717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities PUMA",34.122,-118.062,148,-8
125,G06003718,Los Angeles County (Central)--Pasadena City PUMA,34.153,-118.138,266,-8
126,G06003719,Los Angeles County (Central)--Glendale City PUMA,34.181,-118.246,409,-8
127,G06003720,Los Angeles County (Central)--Burbank City PUMA,34.168,-118.316,161,-8
128,G06003721,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village) PUMA,34.179,-118.387,204,-8
129,G06003722,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks) PUMA,34.185,-118.45,216,-8
130,G06003723,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUMA,34.242,-118.455,265,-8
131,G06003724,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana) PUMA,34.175,-118.524,234,-8
132,G06003725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills) PUMA",34.182,-118.607,253,-8
133,G06003726,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA",34.068,-118.746,395,-8
134,G06000101,Alameda County (North)--Berkeley & Albany Cities PUMA,37.874,-122.287,28,-8
135,G06000102,Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,37.813,-122.282,6,-8
136,G06000103,Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA,37.807,-122.194,177,-8
137,G06000104,Alameda County (North Central)--Oakland City (South Central) PUMA,37.762,-122.19,10,-8
138,G06000105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA",37.72,-122.221,0,-8
139,G06000106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA",37.74,-122.071,134,-8
140,G06000107,Alameda County (Central)--Hayward City PUMA,37.634,-122.06,8,-8
141,G06000108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA",37.538,-122.028,9,-8
142,G06000109,Alameda County (South Central)--Fremont City (East) PUMA,37.54,-121.951,20,-8
143,G06000110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA",37.619,-121.722,381,-8
144,G06000702,Butte County (Southeast)--Oroville City & Paradise Town PUMA,39.601,-121.501,492,-8
145,G06001100,"Colusa, Glenn, Tehama & Trinity Counties PUMA",40.102,-122.6,387,-8
146,G06001301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA,37.935,-122.365,7,-8
147,G06001302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA",37.991,-122.326,30,-8
148,G06001303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA",37.98,-122.178,225,-8
149,G06003727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA,34.109,-118.452,259,-8
150,G06003728,Los Angeles County (Southwest)--Santa Monica City PUMA,34.019,-118.481,34,-8
151,G06001304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA",37.872,-122.106,199,-8
152,G06003729,Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles) PUMA,34.04,-118.432,56,-8
153,G06003730,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire) PUMA,34.06,-118.351,60,-8
154,G06003731,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities PUMA,34.092,-118.38,110,-8
155,G06003732,Los Angeles County (Central)--LA City (East Central/Hollywood) PUMA,34.099,-118.313,112,-8
156,G06003734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",34.081,-118.261,124,-8
157,G06003735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park) PUMA",34.106,-118.202,156,-8
158,G06003736,Los Angeles County (Central)--Alhambra & South Pasadena Cities PUMA,34.094,-118.144,159,-8
159,G06003737,Los Angeles County (Central)--Monterey Park & Rosemead Cities PUMA,34.058,-118.111,111,-8
160,G06003738,Los Angeles County (Central)--El Monte & South El Monte Cities PUMA,34.062,-118.038,82,-8
161,G06003739,Los Angeles County (Southeast)--Whittier City & Hacienda Heights PUMA,33.976,-118.009,226,-8
162,G06001305,Contra Costa County (South)--San Ramon City & Danville Town PUMA,37.815,-121.84,350,-8
163,G06001306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA",37.912,-121.966,354,-8
164,G06001307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA,38.016,-121.957,73,-8
165,G06001308,Contra Costa County (Northeast)--Antioch City PUMA,37.957,-121.814,122,-8
166,G06001309,Contra Costa County (East)--Brentwood & Oakley Cities PUMA,37.945,-121.648,9,-8
167,G06001903,Fresno County (Central)--Fresno City (East Central) PUMA,36.777,-119.728,100,-8
168,G06001904,Fresno County (Central)--Fresno City (Southwest) PUMA,36.742,-119.859,84,-8
169,G06001905,Fresno County (Central)--Fresno City (Southeast) PUMA,36.709,-119.716,92,-8
170,G06001906,Fresno County (Central)--Clovis City PUMA,36.793,-119.659,112,-8
171,G06001907,"Fresno County (East)--Sanger, Reedley & Parlier Cities PUMA",37.004,-119.057,2139,-8
172,G06002300,Humboldt County PUMA,40.707,-123.926,768,-8
173,G06002500,Imperial County--El Centro City PUMA,33.041,-115.355,-13,-8
174,G06002901,"Kern County (West)--Delano, Wasco & Shafter Cities PUMA",35.387,-119.464,83,-8
175,G06002902,Kern County (Central)--Bakersfield City (West) PUMA,35.334,-119.088,114,-8
176,G06002903,Kern County (Central)--Bakersfield City (Northeast) PUMA,35.403,-118.883,225,-8
177,G06000300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA",37.231,-118.456,2908,-8
178,G06000701,Butte County (Northwest)--Chico City PUMA,39.814,-121.779,262,-8
179,G06002904,Kern County (Central)--Bakersfield City (Southeast) PUMA,35.289,-118.956,109,-8
180,G06002905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities PUMA",35.335,-118.311,1326,-8
181,G06003100,Kings County--Hanford City PUMA,36.072,-119.816,56,-8
182,G06003300,Lake & Mendocino Counties PUMA,39.35,-123.257,635,-8
183,G06003701,Los Angeles County (North/Unincorporated)--Castaic PUMA,34.537,-118.173,1207,-8
184,G06003703,Los Angeles County (North Central)--Lancaster City PUMA,34.725,-118.21,711,-8
185,G06003705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch) PUMA,34.249,-118.578,277,-8
186,G06003706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar) PUMA,34.289,-118.475,324,-8
187,G06003707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities PUMA,34.276,-118.411,328,-8
188,G06003708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA",34.241,-118.34,408,-8
189,G06003709,Los Angeles County (Central)--San Gabriel Valley Region (North) PUMA,34.213,-118.111,1007,-8
190,G06003710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities PUMA",34.126,-117.948,163,-8
191,G06003711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities PUMA",34.127,-117.792,328,-8
192,G06003712,Los Angeles County (East Central)--Pomona City PUMA,34.058,-117.762,257,-8
193,G06003713,Los Angeles County (East Central)--Covina & Walnut Cities PUMA,34.06,-117.868,199,-8
194,G06007111,San Bernardino County (Southwest)--Rancho Cucamonga City PUMA,34.126,-117.564,420,-8
195,G06007112,San Bernardino County (Southwest)--Upland & Montclair Cities PUMA,34.105,-117.672,406,-8
196,G06008506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA",37.213,-121.55,756,-8
197,G06008507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA",37.206,-121.969,334,-8
198,G06008508,Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA,37.294,-121.973,61,-8
199,G06008509,Santa Clara County (Central)--San Jose City (Northwest) PUMA,37.339,-121.906,24,-8
200,G06008510,Santa Clara County (Central)--San Jose City (Central) PUMA,37.296,-121.879,42,-8
201,G06008511,Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,37.258,-121.882,54,-8
202,G06008513,Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA,37.285,-121.767,177,-8
203,G06008514,Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA,37.342,-121.838,34,-8
204,G06008701,Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA,37.074,-122.011,189,-8
205,G06008702,Santa Cruz County (South & Coastal)--Santa Cruz City PUMA,36.9,-122,0,-8
206,G06009501,Solano County (Southwest)--Vallejo & Benicia Cities PUMA,38.103,-122.218,14,-8
207,G06009502,Solano County (Central)--Fairfield & Suisun City Cities PUMA,38.207,-122.03,4,-8
208,G06009503,Solano County (Northeast)--Vacaville & Dixon Cities PUMA,38.326,-121.844,12,-8
209,G06009701,"Sonoma County (North)--Windsor Town, Healdsburg & Sonoma Cities PUMA",38.558,-122.964,277,-8
210,G06009702,"Sonoma County (South)--Petaluma, Rohnert Park & Cotati Cities PUMA",38.251,-122.601,20,-8
211,G06009703,Sonoma County (Central)--Santa Rosa City PUMA,38.431,-122.727,44,-8
212,G06009901,"Stanislaus County (Southwest)--Ceres, Patterson & Newman Cities PUMA",37.43,-121.217,240,-8
213,G06009902,Stanislaus County (Central)--Modesto City (West) PUMA,37.656,-121.025,25,-8
214,G06009903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA",37.698,-120.749,58,-8
215,G06009904,Stanislaus County (Central)--Modesto City (East) PUMA,37.665,-120.96,31,-8
216,G06010100,Sutter & Yuba Counties--Yuba City PUMA,39.165,-121.501,27,-8
217,G06010701,Tulare County (Northwest)--Visalia City PUMA,36.358,-119.347,95,-8
218,G06003760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA",33.906,-118.464,0,-8
219,G06003761,Los Angeles County (South Central)--Torrance City PUMA,33.838,-118.339,27,-8
220,G06003762,Los Angeles County (South Central)--Carson City PUMA,33.835,-118.259,11,-8
221,G06003763,Los Angeles County (South Central)--Long Beach City (North) PUMA,33.849,-118.185,14,-8
222,G06003764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA",33.857,-118.092,16,-8
223,G06003765,Los Angeles County (Southeast)--Long Beach City (East) PUMA,33.792,-118.124,5,-8
224,G06003766,Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA,33.761,-118.213,5,-8
225,G06003744,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUMA,34.043,-118.227,79,-8
226,G06003747,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills) PUMA,34.015,-118.346,32,-8
227,G06007306,San Diego County (Northwest)--Escondido City (East) PUMA,33.131,-117.017,163,-8
228,G06007307,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA",32.966,-116.861,403,-8
229,G06007308,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,32.991,-117.047,318,-8
230,G06007309,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,33.026,-117.192,96,-8
231,G06007310,San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,32.895,-117.308,0,-8
232,G06007311,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,32.935,-117.193,76,-8
233,G06005912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA",33.768,-117.998,14,-8
234,G06005913,Orange County (Northwest)--Garden Grove City (East) PUMA,33.777,-117.942,27,-8
235,G06003767,Los Angeles County (South)--LA City (South/San Pedro) PUMA,33.76,-118.282,6,-8
236,G06003768,Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA,33.38,-118.501,0,-8
237,G06003769,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA,33.776,-118.17,13,-8
238,G06003900,Madera County--Madera City PUMA,37.21,-119.75,571,-8
239,G06004101,Marin County (North & West)--Novato & San Rafael (North) Cities PUMA,38.06,-122.758,39,-8
240,G06004102,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA",37.929,-122.514,3,-8
241,G06004701,Merced County (West & South)--Los Banos & Livingston Cities PUMA,37.126,-120.791,28,-8
242,G06004702,Merced County (Northeast)--Merced & Atwater Cities PUMA,37.416,-120.458,86,-8
243,G06005301,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA",36.546,-121.701,349,-8
244,G06005914,Orange County (Northwest)--Huntington Beach City PUMA,33.56,-117.89,0,-8
245,G06005915,Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA,33.574,-117.55,266,-8
246,G06005916,Orange County (Central)--Santa Ana City (West) PUMA,33.735,-117.907,20,-8
247,G06005917,Orange County (Central)--Santa Ana City (East) PUMA,33.737,-117.863,31,-8
248,G06005918,Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA,33.677,-117.93,18,-8
249,G06007312,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,32.88,-117.146,120,-8
250,G06007313,San Diego County (Central)--El Cajon & Santee Cities PUMA,32.815,-116.961,126,-8
251,G06007314,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,32.84,-117.041,86,-8
252,G06007315,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,32.805,-117.169,107,-8
253,G06007316,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,32.719,-117.16,27,-8
254,G06007317,San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,32.752,-117.088,103,-8
255,G06007318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,32.697,-117.061,87,-8
256,G06005302,Monterey County (Northeast)--Salinas City PUMA,36.705,-121.59,44,-8
257,G06005303,Monterey (South & East) & San Benito Counties PUMA,36.264,-121.171,78,-8
258,G06003748,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA,33.974,-118.409,46,-8
259,G06003749,Los Angeles County (Central)--Inglewood City PUMA,33.956,-118.344,41,-8
260,G06003750,Los Angeles County (South Central)--LA City (South Central/Westmont) PUMA,33.968,-118.298,47,-8
261,G06005500,Napa County--Napa City PUMA,38.507,-122.326,401,-8
262,G06005700,Nevada & Sierra Counties PUMA,39.41,-120.602,2022,-8
263,G06005901,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA",33.47,-117.674,40,-8
264,G06005902,Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA,33.611,-117.648,170,-8
265,G06005903,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA",33.585,-117.799,151,-8
266,G06005904,Orange County (Central)--Irvine City (Central) PUMA,33.676,-117.787,35,-8
267,G06005905,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA",33.772,-117.688,261,-8
268,G06005906,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA",33.91,-117.824,203,-8
269,G06006101,Placer County (Southwest)--Roseville City PUMA,38.817,-121.37,29,-8
270,G06006102,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA",38.838,-121.245,86,-8
271,G06007319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA",32.685,-116.829,280,-8
272,G06007320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,32.641,-116.989,153,-8
273,G06006103,Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA,39.098,-120.613,1456,-8
274,G06006501,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA",33.751,-115.389,213,-8
275,G06006502,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA",33.733,-116.654,1848,-8
276,G06006503,Riverside County (Southwest)--Temecula City PUMA,33.49,-117.162,446,-8
277,G06006504,Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA,33.601,-117.194,577,-8
278,G06006505,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA",33.648,-117.317,377,-8
279,G06006506,Riverside County (Southwest)--Hemet City & East Hemet PUMA,33.618,-117.003,819,-8
