,PUMA Number,PUMA Name,Latitude,Longitude,Elevation,Time Zone
1130,G27001201,"Washington County (North)--Oakdale, Forest Lake, Stillwater & Hugo Cities PUMA",45.14,-92.891,299,-6
1131,G27001202,Washington County (South)--Woodbury & Cottage Grove Cities PUMA,44.857,-92.891,274,-6
1132,G27001301,"Ramsey County (North)--Shoreview, White Bear Lake & New Brighton Cities PUMA",45.084,-93.106,280,-6
1133,G27001302,"Ramsey County (Central & Far Southeast)--Maplewood, Roseville & North St. Paul Cities PUMA",45.002,-93.082,283,-6
1134,G27001303,Ramsey County (Southeast)--St. Paul City (East) PUMA,44.946,-93.057,268,-6
1135,G27001304,Ramsey County (Southwest)--St. Paul City (West) PUMA,44.95,-93.155,284,-6
1136,G27001401,"Hennepin County (West)--Champlin, Rogers Cities & Lake Minnetonka PUMA",45.053,-93.613,308,-6
1137,G27001402,"Hennepin County--Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA",45.045,-93.47,300,-6
1138,G27001403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA",45.112,-93.389,267,-6
1139,G27001404,"Hennepin County--Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA",45.029,-93.35,268,-6
1140,G27001405,Hennepin County--Minneapolis (North) & St. Anthony Cities PUMA,45.007,-93.265,254,-6
1141,G27001406,Hennepin County--Minneapolis City (Southeast) PUMA,44.93,-93.239,260,-6
1142,G27001407,Hennepin County--Minneapolis City (Southwest) PUMA,44.933,-93.299,268,-6
1143,G27001408,"Hennepin County--Edina, St. Louis Park & Hopkins Cities PUMA",44.918,-93.367,276,-6
1144,G27001409,Hennepin County--Eden Prairie & Minnetonka Cities PUMA,44.882,-93.462,277,-6
1145,G27001410,Hennepin County--Bloomington & Richfield Cities PUMA,44.844,-93.298,253,-6
1146,G27001501,"Dakota County (North)--Eagan, Inver Grove Heights & South St. Paul Cities PUMA",44.841,-93.11,271,-6
1147,G27001502,"Dakota County (South)--Lakeville, Hastings, Rosemount & Farmington Cities PUMA",44.632,-93.038,267,-6
1148,G27001503,Dakota County (West)--Burnsville & Apple Valley Cities PUMA,44.755,-93.252,298,-6
1149,G27001600,"Scott County (East)--Shakopee, Savage & Prior Lake Cities PUMA",44.681,-93.45,294,-6
1150,G27001700,Carver & Scott (West) Counties PUMA,44.764,-93.772,300,-6
1151,G27001800,Wright County PUMA,45.175,-93.966,316,-6
1152,G27001900,"Kandiyohi, McLeod, Meeker, Renville & Sibley Counties PUMA",44.89,-94.668,340,-6
1153,G27000100,"Clay, Polk, Roseau, Pennington, Marshall, Norman, Kittson & Red Lake Counties PUMA",48.053,-96.317,338,-6
1154,G27002000,"Brown, Lyon, Redwood, Chippewa, Yellow Medicine, Lac qui Parle & Lincoln Counties PUMA",44.61,-95.664,327,-6
1155,G27002100,Southwest Minnesota PUMA,43.811,-95.226,437,-6
1156,G27002200,"Blue Earth, Nicollet & Waseca Counties--Mankato City PUMA",44.116,-93.999,302,-6
1157,G27002300,"Rice, Goodhue & Le Sueur Counties PUMA",44.383,-93.157,329,-6
1158,G27002400,"Mower, Steele, Freeborn & Dodge Counties PUMA",43.812,-93.033,383,-6
1159,G27002500,Olmsted County--Rochester City PUMA,44.003,-92.407,362,-6
1160,G27002600,"Winona, Wabasha, Fillmore & Houston Counties--Winona City PUMA",43.877,-91.908,361,-6
1161,G28000100,North Delta Region--DeSoto County--Southaven City PUMA,34.874,-89.993,84,-6
1162,G28000200,"Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA",34.765,-88.888,175,-6
1163,G28000300,"North Delta Region--Panola, Tate, Coahoma, Tallahatchie, Tunica & Quitman Counties PUMA",34.324,-90.216,49,-6
1164,G28000400,"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA",33.862,-88.546,60,-6
1165,G28000500,"Three Rivers Region--Lee, Pontotoc & Union Counties--Tupelo City PUMA",34.326,-88.909,130,-6
1166,G28000600,"Golden Triangle Region--Starkville, Columbus & West Point Cities PUMA",33.347,-88.859,81,-6
1167,G28000700,North Central Region PUMA,33.445,-89.877,113,-6
1168,G28000800,South Delta Region PUMA,33.336,-90.802,34,-6
1169,G28000900,Central Region--Madison & Yazoo Counties PUMA,32.727,-90.238,66,-6
1170,G28001000,Central Region--Jackson (West & South) & Clinton (South & East) Cities PUMA,32.243,-90.28,101,-6
1171,G28001100,Central Region--Jackson City (East & Central) PUMA,32.332,-90.18,109,-6
1172,G28001200,"Central Region--Hinds (West), Warren & Copiah Counties--Vicksburg City PUMA",32.143,-90.591,63,-6
1173,G28001300,Central Region--Rankin & Simpson Counties PUMA,32.119,-89.926,113,-6
1174,G28001400,"East Central Region--Neshoba, Scott, Leake, Jasper, Smith & Kemper Counties PUMA",32.647,-89.425,126,-6
1175,G28001500,"East Central Region--Lauderdale, Newton & Clarke Counties--Meridian City PUMA",32.283,-88.808,133,-6
1176,G28001600,Southwest Region PUMA,31.439,-90.783,130,-6
1177,G28001700,"South Region--Jones, Wayne, Covington, Greene & Jefferson Davis Counties PUMA",31.525,-89.052,53,-6
1178,G28001800,"South Region--Forrest, Lamar, Marion & Perry Counties--Hattiesburg City PUMA",31.198,-89.379,69,-6
1179,G28001900,"South Region--Pearl River, Hancock, George & Stone Counties PUMA",30.693,-89.281,65,-6
1180,G28002000,South Region--Harrison County--Gulfport & Biloxi Cities PUMA,30.417,-89.083,4,-6
1181,G28002100,South Region--Jackson County PUMA,30.458,-88.62,1,-6
1182,G29000100,Northwest Missouri PUMA,40.212,-94.021,275,-6
1183,G29000200,"Buchanan, Andrew & DeKalb Counties PUMA",39.847,-94.675,275,-6
1184,G29000300,Northeast Missouri PUMA,39.981,-92.084,234,-6
1185,G29000400,"Lincoln, Warren, Audrain, Pike & Montgomery Counties PUMA",39.094,-91.342,204,-6
1186,G29000500,"Cole, Callaway, Moniteau & Osage Counties PUMA",38.637,-92.089,228,-6
1187,G29000700,"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties PUMA",39.18,-93.031,240,-6
1188,G29000800,"Johnson, Lafayette, Ray, Clinton & Caldwell Counties PUMA",39.198,-93.953,211,-6
1189,G29000901,Clay County (Northeast) PUMA,39.335,-94.394,266,-6
1190,G29000902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",39.217,-94.55,274,-6
1191,G29000903,Platte County PUMA,39.379,-94.761,237,-6
1192,G29001001,Jackson County--Kansas City (Central) PUMA,39.074,-94.533,268,-6
1193,G29001002,Jackson County (North Central) PUMA,39.034,-94.426,288,-6
1194,G29001003,Jackson County (East) PUMA,39.038,-94.233,286,-6
1195,G29001004,Jackson County (South Central) PUMA,38.917,-94.379,317,-6
1196,G29001005,Jackson County--Kansas City (South) PUMA,38.932,-94.546,284,-6
1197,G29001100,Cass & Bates Counties PUMA,38.438,-94.345,260,-6
1198,G29000600,Boone County PUMA,38.99,-92.311,217,-6
1199,G29001807,St. Louis County (Inner Ring South) PUMA,38.556,-90.346,179,-6
1200,G29001902,St. Louis City (South) PUMA,38.595,-90.258,170,-6
1201,G29002002,Jefferson County (South) PUMA,38.228,-90.547,197,-6
1202,G29002200,"Cape Girardeau, Scott & Bollinger Counties PUMA",37.276,-89.782,110,-6
1203,G29002400,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties PUMA",37.111,-90.686,230,-6
1204,G29002601,"Christian, Greene (Outside Springfield City) & Webster Counties PUMA",37.173,-93.125,402,-6
1205,G29002800,Jasper & Newton Counties PUMA,37.056,-94.34,338,-6
1206,G29001200,"Lawrence, Henry, Vernon, Cedar, Barton, St. Clair & Dade Counties PUMA",37.76,-93.986,272,-6
1207,G29001300,"Laclede, Polk, Benton, Dallas & Hickory Counties PUMA",37.842,-93.092,321,-6
1208,G29001400,"Pulaski, Camden, Miller & Morgan Counties PUMA",38.121,-92.585,260,-6
1209,G29001500,"Phelps, Crawford, Dent, Gasconade & Maries Counties PUMA",37.973,-91.585,265,-6
1210,G29001600,Franklin County PUMA,38.408,-91.073,206,-6
1211,G29001701,St. Charles County (South) PUMA,38.689,-90.799,216,-6
1212,G29001702,St. Charles County (Northwest) PUMA,38.843,-90.815,182,-6
1213,G29001703,St. Charles County (Northeast) PUMA,38.858,-90.463,136,-6
1214,G29001801,St. Louis County (Northeast) PUMA,38.802,-90.239,176,-6
1215,G29001802,St. Louis County (Northwest) PUMA,38.781,-90.365,166,-6
1216,G29001803,St. Louis County (Inner Ring North) PUMA,38.702,-90.345,194,-6
1217,G29001804,St. Louis County (West) PUMA,38.658,-90.582,160,-6
1218,G29001805,St. Louis County (Central) PUMA,38.638,-90.416,180,-6
1219,G29001806,St. Louis County (Central West) PUMA,38.582,-90.532,175,-6
1220,G29001808,St. Louis County (South) PUMA,38.507,-90.515,158,-6
1221,G29001901,St. Louis City (North) PUMA,38.674,-90.234,156,-6
1222,G29002001,Jefferson County (North) PUMA,38.435,-90.474,241,-6
1223,G29002100,"St. Francois, Washington, Perry & Ste. Genevieve Counties PUMA",37.862,-90.409,288,-6
1224,G29002300,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA",36.576,-89.787,84,-6
1225,G29002500,"Howell, Texas, Wright, Douglas, Oregon, Ozark & Shannon Counties PUMA",36.992,-91.975,380,-6
1226,G29002602,Greene County--Springfield City (North) PUMA,37.228,-93.287,411,-6
1227,G29002603,Greene County--Springfield City (South) PUMA,37.141,-93.348,386,-6
1228,G29002700,"Taney, Barry, Stone & McDonald Counties PUMA",36.69,-93.656,427,-6
1229,G30000400,North Central Montana--Great Falls City PUMA,47.743,-110.311,958,-7
1230,G30000500,South Central Montana--Bozeman City PUMA,45.565,-110.021,2269,-7
1231,G30000600,East Montana (Outside Billings City) PUMA,46.935,-106.364,875,-7
1232,G30000700,Billings City PUMA,45.789,-108.543,979,-7
1233,G30000100,Northwest Montana--Kalispell City PUMA,48.481,-114.172,1420,-7
1234,G30000200,West Montana--Missoula City PUMA,47.107,-114.418,1207,-7
1235,G30000300,Southwest Montana--Butte-Silver Bow & Helena City PUMA,45.996,-112.547,1661,-7
1236,G31000100,North Central & Northwest Nebraska PUMA,42.234,-101.766,1172,-7
1237,G31000200,Northeast Nebraska PUMA,42.084,-97.397,478,-6
1238,G31000300,Central Nebraska PUMA,41.45,-99.06,704,-6
1239,G31000400,Southwest Nebraska PUMA,41.004,-100.953,944,-6
1240,G31000500,South Central Nebraska PUMA,40.431,-98.791,638,-6
1241,G31000600,Southeast Nebraska PUMA,40.363,-97.2,430,-6
1242,G31000701,"Dodge, Cass, Saunders & Washington Counties PUMA",41.287,-96.443,383,-6
1243,G31000702,Sarpy County--Bellevue City PUMA,41.115,-96.109,357,-6
1244,G31000801,Lancaster County--Lincoln City (North) PUMA,40.922,-96.694,364,-6
1245,G31000802,Lancaster County--Lincoln City (South) PUMA,40.661,-96.696,389,-6
1246,G31000901,Douglas County--Omaha City (Northwest) PUMA,41.333,-96.204,365,-6
1247,G31000902,Douglas County--Omaha City (Southwest) PUMA,41.228,-96.211,355,-6
1248,G31000903,Douglas County--Omaha City (Northeast) PUMA,41.322,-95.968,359,-6
1249,G31000904,Douglas County--Omaha City (Southeast) PUMA,41.227,-95.972,375,-6
1250,G32000405,Las Vegas City (Southeast) PUMA,36.171,-115.127,584,-8
1251,G32000406,Las Vegas City (South Central) PUMA,36.169,-115.217,694,-8
1252,G32000407,Clark County (West)--Las Vegas City (Southwest) PUMA,36.28,-115.623,2818,-8
1253,G32000408,Clark County (Central)--Spring Valley & Summerlin South PUMA,36.089,-115.327,849,-8
1254,G32000409,Clark County (Central)--Paradise (Northwest) & Winchester PUMA,36.105,-115.153,629,-8
1255,G32000410,"Clark County (Central)--Whitney, Sunrise Manor (South) & Paradise (Northeast) PUMA",36.118,-115.058,516,-8
1256,G32000411,Clark County (Central)--Henderson City (West) PUMA,35.992,-115.085,755,-8
1257,G32000412,Clark County (South)--Henderson (East) & Boulder Cities PUMA,35.642,-115.011,930,-8
1258,G32000413,Clark County (Central)--Paradise (South) & Enterprise PUMA,36.032,-115.169,680,-8
1259,G32000101,Washoe County (South Central)--Reno City PUMA,39.514,-119.808,1362,-8
1260,G32000102,Washoe County (South) PUMA,39.425,-119.872,2262,-8
1261,G32000103,Washoe County (North)--Sparks City PUMA,40.765,-119.588,1675,-8
1262,G32000200,"Carson City, Lyon, Douglas & Storey Counties PUMA",39.042,-119.374,1906,-8
1263,G32000300,Rural Nevada PUMA,39.511,-116.478,1913,-8
1264,G32000401,Clark County (Northwest Central)--Northwest Las Vegas Valley PUMA,36.257,-115.288,758,-8
1265,G32000402,Clark County (North)--Las Vegas (Northeast) & North Las Vegas (Outer) Cities PUMA,36.606,-115.135,2149,-8
