################################################################################,,,,,,,
#,,,,,,,
# Graph type: time series,,,,,,,
#,,,,,,,
# Database time resolution: 15 Minute,,,,,,,
#,,,,,,,
# 190101 00:00 - 200101 00:00,,,,,,,
#,,,,,,,
# Selected time series:,,,,,,,
# Metstation, Wind dir, 012[M], Value (Deg.M) (),,,,
# Metstation, Wind spee, 012[M], Value (m/s) (),,,,
# Metstation, Std wdir, 012[M], Value (deg.M) (),,,,
# Metstation, Temp, 002[M], Value (deg.C) (),,,,
# Metstation, Temp, 008[M], Value (deg.C) (),,,,
# Metstation, Glob. rad, 002[M], Value (W/m2) (),,,,
# Metstation, Rel hum, 002[M], Value (%RH) (),,,,
# Metstation, Diff temp, 008[M], Value (deg.C) (),,,,
,,,,,,,
,,,,,,,
,,,,,,,
, 012[M], 012[M], 012[M], 002[M], 008[M], 002[M], 002[M]
#, Wind dir, Wind spee, Std wdir, Temp, Temp, Glob. rad, Rel hum
28/02/2019 11:30,330.8,2.078,15.51,7.509,7.85,115.4,82.8
28/02/2019 11:45,325.8,1.561,18.35,7.997,8.11,97.1,82.2
28/02/2019 12:00,336,1.427,18.88,8.543,8.58,164.6,81.6
28/02/2019 12:15,7.55,1.148,40.82,9.39501,9.32001,148.1,80.9
28/02/2019 12:30,337.5,1.804,20.79,8.98101,9.07001,134.5,80.1
28/02/2019 12:45,336.1,2.396,14.91,9.02901,9.24001,244,79.1
28/02/2019 13:00,1.962,2.637,14.16,8.959,9.28,203.1,78.3
28/02/2019 13:15,26.62,2.064,19.47,9.123,9.47,209.6,78.2
28/02/2019 13:30,42.41,1.801,20.91,9.549,9.59,215.2,78.3
28/02/2019 13:45,47.45,2.251,17.99,9.208,9.38,223.8,78.6
28/02/2019 14:00,45.13,1.921,16.85,8.764,9.13,147.4,79.2
28/02/2019 14:15,59.36,2.055,18.76,8.541,8.81,150,80.4
28/02/2019 14:30,38.39,1.767,15.79,8.86999,9.25999,163.2,79
28/02/2019 14:45,19.76,2.03,19.88,8.76,9.23,104.5,79
28/02/2019 15:00,34.37,2.518,13.99,8.433,8.86,83.8,80.4
28/02/2019 15:15,37.25,2.513,14,8.244,8.72,71.6,80.9
28/02/2019 15:30,33.94,2.534,13.44,8.05301,8.46001,65.3,82.3
28/02/2019 15:45,12.36,2.002,18.52,7.931,8.41,57.74,82.1
28/02/2019 16:00,19.78,2.316,12.85,7.85099,8.25999,40.03,83.4
28/02/2019 16:15,16.01,2.403,13.3,7.666,8.03,33.93,84.3
28/02/2019 16:30,10.37,2.359,11.38,7.315,7.76,31.72,84.7
28/02/2019 16:45,19.42,2.485,12.31,7.28,7.7,31.15,85.4
28/02/2019 17:00,10.41,2.793,12.35,7.178,7.64,15.2,85.3
28/02/2019 17:15,15.31,2.288,19.11,7.203,7.65,5.126,85.6
28/02/2019 17:30,38.06,1.834,15.76,7.238,7.54,1.847,86.1
28/02/2019 17:45,31.51,2.377,11.07,6.977,7.32,0.269,87.3
28/02/2019 18:00,16.04,2.212,17.4,6.842,7.26,,87.8
28/02/2019 18:15,8.25,2.379,16.55,6.912,7.3,,87.9
28/02/2019 18:30,24.48,2.303,12.53,6.813,7.13,,89.1
28/02/2019 18:45,14.01,2.374,14.36,6.648,7.02,,89.5
28/02/2019 19:00,10.78,2.854,15.59,6.543,6.936,,89.1
28/02/2019 19:15,6.773,2.946,13.86,6.449,6.853,,89.4
28/02/2019 19:30,4.672,3.252,14.53,6.429,6.787,,90.3
28/02/2019 19:45,4.055,3.544,12.53,6.385,6.697,,91.5
28/02/2019 20:00,6.135,2.82,13.55,6.234,6.564,,91.9
28/02/2019 20:15,5.013,3.651,13.45,6.109,6.391,,92.7
28/02/2019 20:30,6.442,3.324,12.49,5.887,6.242,,93
28/02/2019 20:45,3.891,3.233,14.67,5.805,6.164,,93.6
28/02/2019 21:00,1.178,3.182,13.41,5.7,6.089,,93.8
28/02/2019 21:15,2.58,2.774,13.29,5.623,6.062,,93.8
28/02/2019 21:30,6.031,2.36,14.67,5.684,6.117,,92.8
28/02/2019 21:45,6.859,2.839,13.75,5.617,6.037,,93.2
28/02/2019 22:00,0.541,2.358,15.37,5.485,6,,92.4
28/02/2019 22:15,3.971,2.456,16.19,5.549,6.053,,91.3
28/02/2019 22:30,6.738,2.246,15.99,5.665,6.101,,91.3
28/02/2019 22:45,14.45,1.649,19.51,5.72,6.122,,91.2
28/02/2019 23:00,9.64999,1.954,15.92,5.735,6.113,,91.2
28/02/2019 23:15,4.34,2.08,12,5.716,6.112,,91.8
28/02/2019 23:30,354.5,2.58,11.35,5.662,6.101,,91.1
28/02/2019 23:45,358.7,2.456,15.12,5.639,6.101,,91.1
01/03/2019 00:00,359.6,2.625,13.97,5.712,6.122,,90.8
01/03/2019 00:15,8.39999,1.654,17.94,5.74,6.15,,90.2
01/03/2019 00:30,1.536,1.879,11.42,5.774,6.15,,90.8
01/03/2019 00:45,348.7,1.947,14.75,5.759,6.186,,90.5
01/03/2019 01:00,337.4,1.927,14.42,5.81,6.219,,91.5
01/03/2019 01:15,337.5,1.737,17.65,5.775,6.148,,92.5
01/03/2019 01:30,328.9,1.414,13.81,5.73,6.125,,92.9
01/03/2019 01:45,322.8,1.127,15.36,5.674,6.073,,92.9
01/03/2019 02:00,299.4,1.305,23.76,5.544,6.036,,93.1
01/03/2019 02:15,291,1.633,29.59,5.608,6.08,,93.3
01/03/2019 02:30,326.1,1.796,11.32,5.478,6.016,,93.3
01/03/2019 02:45,312.6,1.236,13.67,5.403,6.015,,93.3
01/03/2019 03:00,271.6,0.404,17.93,5.601,6.1,,93.1
01/03/2019 03:15,268.8,1.2,17.08,5.566,6.103,,93.2
01/03/2019 03:30,259.7,2.345,8.52,5.633,6.099,,93.3
01/03/2019 03:45,269.2,2.326,10.25,5.595,6.072,,94.2
01/03/2019 04:00,267.9,2.399,8.03999,5.59,6.078,,94
01/03/2019 04:15,264.8,1.98,13.29,5.573,6.108,,93
01/03/2019 04:30,278.3,1.085,18.53,5.648,6.192,,93.1
01/03/2019 04:45,271.7,1.21,16.37,5.724,6.269,,92.5
01/03/2019 05:00,297.4,0.923,23.29,5.786,6.315,,92.1
01/03/2019 05:15,9.53999,0.682,30.31,5.863,6.37,,92.1
01/03/2019 05:30,63.77,1.065,11.5,5.818,6.274,,91.8
01/03/2019 05:45,64.0699,0.484,4.978,5.835,6.244,,91.9
01/03/2019 06:00,114.1,1.036,2.249,5.983,6.153,,92.4
01/03/2019 06:15,106.9,1.138,14.8,5.819,6.014,,93
01/03/2019 06:30,124.5,1.372,8.83,5.725,5.943,,93.5
01/03/2019 06:45,135.5,1.389,10.59,5.625,5.918,,94.2
01/03/2019 07:00,176,0.812,4.296,5.639,5.965,,94.7
01/03/2019 07:15,166.4,0.893,17.64,5.594,5.967,,94.3
01/03/2019 07:30,175.7,1.36,7.44,5.586,6.018,,94.6
01/03/2019 07:45,186.2,1.347,13.75,5.723,6.129,,94.7
01/03/2019 08:00,211.4,1.696,9.47,5.746,6.291,,94.8
01/03/2019 08:15,227.8,1.223,18.15,5.927,6.508,,94
01/03/2019 08:30,239.7,1.685,13.8,6.098,6.647,,93
01/03/2019 08:45,247,1.796,14.97,6.244,6.777,,92.3
01/03/2019 09:00,253.8,2.284,13.06,6.422,6.944,,91.6
01/03/2019 09:15,261.6,2.144,14.89,6.458,7.08,,89
01/03/2019 09:30,272.5,2.361,15.12,6.722,7.32,,86.9
01/03/2019 09:45,255.2,2.336,11.06,7.168,7.55,93.7,87.5
01/03/2019 10:00,314,2.034,22.43,7.34,7.9,131.8,81.8
01/03/2019 10:15,334.1,1.549,25.54,8.04299,8.39999,128.9,80.6
01/03/2019 10:30,300.4,1.25,24.61,8.517,8.7,142.9,76
01/03/2019 10:45,261.2,1.123,41.96,8.863,8.97,155.6,75.2
01/03/2019 11:00,255.3,1.861,18.86,9.219,9.3,195,73.7
01/03/2019 11:15,258.5,1.764,26.23,9.39801,9.49001,211.7,71.9
01/03/2019 11:30,208.8,1.015,32.4,10.255,10.08,232.6,69.48
01/03/2019 11:45,60.6,0.461,17.76,10.206,10.11,95.9,69.2
01/03/2019 12:00,65.34,0.112,12.05,10.20201,9.93001,61.19,67.98
01/03/2019 12:15,263,1.183,17.9,9.55401,9.71001,54.41,66.29
01/03/2019 12:30,233.3,2.023,16.33,9.256,9.52,50.42,66.86
01/03/2019 12:45,212.5,1.659,23.67,9.163,9.47,61.21,67.23
01/03/2019 13:00,244.7,1.242,20.1,9.387,9.61,70.9,66.55
01/03/2019 13:15,248.6,1.686,18.97,9.385,9.64,75.3,67.36
01/03/2019 13:30,194.7,1.421,33.81,9.68599,9.89999,105,66.55
01/03/2019 13:45,187,2.001,19.74,9.78099,9.89999,70.5,71.8
01/03/2019 14:00,201,2.687,12.77,9.105,9.38,56.58,72.4
01/03/2019 14:15,205.6,2.505,15.71,8.744,9.12,51.05,72.4
01/03/2019 14:30,214,2.506,12.1,8.654,9.06,54.79,72.5
01/03/2019 14:45,219.8,2.377,17.67,8.769,9.13,55.5,73.6
01/03/2019 15:00,212.4,2.51,11.88,8.78801,9.10001,49,74.5
01/03/2019 15:15,167.2,1.835,16.22,8.72701,9.07001,48.91,75.1
01/03/2019 15:30,195.3,2.034,18.66,8.818,9.19,55.61,75.2
01/03/2019 15:45,170.9,2.292,29.18,8.82901,9.18001,54.49,74.1
01/03/2019 16:00,166.5,2.144,15.27,8.83,9.14,44.96,74.2
01/03/2019 16:15,177.4,2.149,12.48,8.776,9.14,36.42,73.6
01/03/2019 16:30,162.1,1.975,15.64,8.84601,9.18001,26.93,75.8
01/03/2019 16:45,152.8,2.612,10.34,8.82301,9.10001,20.3,76.7
01/03/2019 17:00,142.6,2.636,14.17,8.811,9.05,19.66,78.3
01/03/2019 17:15,146.2,2.634,11.02,8.72,8.97,7.52,78.9
01/03/2019 17:30,148.8,1.983,10.77,8.663,8.88,2.495,80.6
01/03/2019 17:45,141.6,1.783,11.18,8.597,8.87,0.433,82
01/03/2019 18:00,133.7,1.821,8.35001,8.606,8.8,,82.8
01/03/2019 18:15,131.1,2.156,8.18001,8.47201,8.57001,,83.1
01/03/2019 18:30,129.9,1.67,9.06,8.089,8.08,,85
01/03/2019 18:45,147.2,1.704,6.818,7.613,7.63,,86.9
01/03/2019 19:00,141.2,1.984,7.1,7.607,7.68,,89
01/03/2019 19:15,141.9,1.854,9.42,7.609,7.72,,89.7
01/03/2019 19:30,142.8,2.141,10.74,7.565,7.93,,90.1
01/03/2019 19:45,145.5,1.344,9.57001,7.697,8.05,,90.6
01/03/2019 20:00,145.1,2.423,9.09,7.694,8.03,,90.3
01/03/2019 20:15,138.3,1.956,8.97,7.69,7.98,,90.4
01/03/2019 20:30,129.1,1.504,13.86,7.455,7.89,,91
01/03/2019 20:45,144.5,1.41,13.38,7.424,7.71,,90.6
01/03/2019 21:00,144.2,1.716,10.09,7.369,7.81,,90.8
01/03/2019 21:15,148.9,2.144,8.48,7.507,7.84,,91
01/03/2019 21:30,153.1,2.154,6.273,7.423,7.55,,91
01/03/2019 21:45,161.6,2.021,12.37,7.096,7.14,,92.4
01/03/2019 22:00,149.2,2.016,6.477,6.885,6.951,,92.9
01/03/2019 22:15,133.4,1.889,8.41,6.547,6.576,,92.2
01/03/2019 22:30,126.5,2.363,5.036,6.738,6.258,,93.6
01/03/2019 22:45,133.8,1.96,10.14,6.124,6.159,,94.3
01/03/2019 23:00,149.1,2.696,12.63,6.109,6.386,,95
01/03/2019 23:15,134.5,3.376,9.86,6.653,7.06,,93.8
01/03/2019 23:30,132.6,2.888,7.39,6.576,6.902,,92.4
01/03/2019 23:45,134.7,2.479,9.73,6.372,6.647,,93.1
02/03/2019 00:00,139.6,2.901,7.68,6.337,6.628,,92.7
02/03/2019 00:15,143.1,2.982,8.07001,6.246,6.602,,93.2
02/03/2019 00:30,145.3,2.587,10.5,6.327,6.697,,93.2
02/03/2019 00:45,134.2,2.273,8.86,6.347,6.539,,92.8
02/03/2019 01:00,147.5,2.331,7.25,6.22,6.43,,93.2
02/03/2019 01:15,142.7,2.565,7.44,6.125,6.531,,93.1
02/03/2019 01:30,139.4,2.021,7.27,6.305,6.559,,93.4
02/03/2019 01:45,149.4,1.29,6.247,6.078,6.421,,94.2
02/03/2019 02:00,145.8,1.595,9.69,6.272,6.658,0.04,93.5
02/03/2019 02:15,118.8,1.974,6.117,6.389,6.683,,93.4
02/03/2019 02:30,131.5,1.09,8.44,6.317,6.722,,93.4
02/03/2019 02:45,130.7,1.601,11.01,6.476,6.75,,93.6
02/03/2019 03:00,145.5,2.344,8.77,6.209,6.633,,93.8
02/03/2019 03:15,137.7,1.928,10.35,6.217,6.669,,93.8
02/03/2019 03:30,133.2,1.371,16.46,6.284,6.651,,94
02/03/2019 03:45,141.6,2.11,7.24,6.243,6.535,,94.7
02/03/2019 04:00,139.2,1.998,6.178,6.246,6.447,,94.5
02/03/2019 04:15,156,2.255,10.41,6.111,6.215,,94.6
02/03/2019 04:30,129.9,2.269,11.15,5.986,6.323,,95.1
02/03/2019 04:45,155.4,2.054,9.71001,6.012,6.408,,95.4
02/03/2019 05:00,135.4,2.38,19.92,6.173,6.538,,95.2
02/03/2019 05:15,94.7,2.615,11.59,6.157,6.716,,95.6
02/03/2019 05:30,120.9,2.143,14.51,6.566,7.12,,95
02/03/2019 05:45,145.8,2.026,19.36,6.766,7.35,0.396,94.8
02/03/2019 06:00,159.2,1.883,8.53,6.971,7.33,0.233,94.1
02/03/2019 06:15,148.5,1.697,19.93,6.89,7.16,0.404,93.5
02/03/2019 06:30,146.7,1.668,13.63,6.792,7.11,,94.6
02/03/2019 06:45,141.4,1.35,7.64,6.873,7.09,,94.2
02/03/2019 07:00,176.8,1.235,14.8,6.72,7.09,,94
02/03/2019 07:15,182.8,1.274,17.14,6.878,7.07,,93.5
02/03/2019 07:30,206.4,1.122,24.75,6.864,7.03,,94.4
02/03/2019 07:45,126.2,1.407,47.51,6.923,7.1,,93.7
02/03/2019 08:00,162.6,1.405,19.02,6.537,6.774,,94.2
02/03/2019 08:15,223.5,1.791,31.22,6.732,7.52,,93.8
02/03/2019 08:30,224.4,2.478,18.56,7.618,8.33,,91.9
02/03/2019 08:45,227.2,2.763,17.3,7.959,8.58,87.8,90.1
02/03/2019 09:00,232.9,2.883,20.62,8.748,9.33,212.4,86.4
02/03/2019 09:15,228.3,2.497,15.74,10.007,10.34,246.9,85.4
02/03/2019 09:30,219.6,1.912,19.54,10.235,10.61,150.3,84.9
02/03/2019 09:45,245.7,2.392,22.76,10.255,10.57,106.7,83.4
02/03/2019 10:00,240.7,3.237,16.38,10.407,10.65,149.3,82.9
02/03/2019 10:15,234.9,3.191,18.79,10.703,10.97,158.9,83
02/03/2019 10:30,240.9,3.068,20.06,11.054,11.3,152.3,81.9
02/03/2019 10:45,245.8,4.688,15.72,11.237,11.52,211.8,78.8
02/03/2019 11:00,241,5.158,16.83,11.546,11.79,232.6,78
02/03/2019 11:15,237,5.042,16.63,11.434,11.67,160.1,77.8
02/03/2019 11:30,242.9,4.631,17.12,11.528,11.8,186.7,75.1
02/03/2019 11:45,238.8,5.161,19.39,12.369,12.48,409.9,74
02/03/2019 12:00,239,5.508,15.28,12.962,12.77,428.1,75.6
02/03/2019 12:15,236.1,5.089,16.28,12.615,12.65,309.6,72.7
02/03/2019 12:30,247.1,4.308,17.97,12.731,12.81,270.2,70.2
02/03/2019 12:45,238.8,4.98,20.25,12.669,12.88,267.4,67.85
02/03/2019 13:00,228.4,5.407,18.25,12.62,12.88,226.6,65.79
02/03/2019 13:15,225.7,5.869,14.79,12.474,12.79,183.9,62.75
02/03/2019 13:30,222.5,4.039,17.68,12.403,12.73,141,64.64
02/03/2019 13:45,219.3,4.674,14.88,12.433,12.73,116.9,65.42
02/03/2019 14:00,214.5,5.505,14.13,12.304,12.62,110.9,61.27
02/03/2019 14:15,214,6.075,14.37,12.222,12.57,190.3,55.77
02/03/2019 14:30,221.7,6.697,14.31,12.167,12.45,148.6,56.85
02/03/2019 14:45,216.8,6.406,15.96,11.744,12.06,101.4,58.3
02/03/2019 15:00,217.4,7.23,13.09,11.614,11.93,100.3,58.7
02/03/2019 15:15,216.9,7.12,15.36,11.556,11.88,67.1,60.39
02/03/2019 15:30,216.3,6.643,13.99,11.589,11.89,47.15,62.69
02/03/2019 15:45,210,7.29,16.08,11.513,11.77,54.3,65.65
02/03/2019 16:00,205.7,6.939,15.2,11.298,11.56,30.56,67.3101
02/03/2019 16:15,200.8,6.257,13.23,11.162,11.41,14.83,68.6901
02/03/2019 16:30,191.6,5.944,17.37,11.103,11.38,14.44,69.6
02/03/2019 16:45,194.9,5.031,15.94,11.15,11.44,9.41,68.83
02/03/2019 17:00,199.5,5.104,17.5,11.404,11.71,5.988,68.5
02/03/2019 17:15,202.8,5.665,15.75,11.666,11.95,2.888,69.51
02/03/2019 17:30,204.5,7.08,16.09,11.75,12.01,2.687,70.7
02/03/2019 17:45,206,8.44,13.81,11.668,11.93,,72.7
02/03/2019 18:00,206.7,8.67,13.29,11.392,11.68,,75.9
02/03/2019 18:15,201.1,7.87,13.41,11.495,11.72,,76.1
02/03/2019 18:30,200.7,7.09,12.95,11.413,11.71,,75.6
02/03/2019 18:45,204.2,7.57,13.25,11.838,12.14,,73.1
02/03/2019 19:00,211.6,7.53,13.97,12.241,12.52,,73.5
02/03/2019 19:15,216.7,9.63,14.38,11.967,12.23,,77.5
02/03/2019 19:30,220.6,9.64999,13.09,11.272,11.57,,81.5
02/03/2019 19:45,225.9,8.47,15.8,10.828,11.21,,86
02/03/2019 20:00,226.9,7.45,15.25,10.485,10.87,,87.5
02/03/2019 20:15,231,6.973,16.46,10.417,10.93,,86.8
02/03/2019 20:30,238.7,7.5,16.76,10.386,10.93,,83.7
02/03/2019 20:45,247.3,8.25999,17.9,10.781,11.17,0.364,80.8
02/03/2019 21:00,263.3,8.95,15.78,10.959,11.16,2.42,74.7
02/03/2019 21:15,271.8,8.08,13.89,10.321,10.53,,76.7
02/03/2019 21:30,264.3,8.78999,14.08,9.416,9.73,,76.1
02/03/2019 21:45,262.5,8.11,14.24,9.44199,9.64999,,76.4
02/03/2019 22:00,259.1,7.97,12.89,9.288,9.5,,73.5
02/03/2019 22:15,265,8.03,11.95,9.093,9.28,,69.0699
02/03/2019 22:30,262,7.89,13.69,8.89601,9.07001,,68.33
02/03/2019 22:45,263.3,7.11,14.58,8.48201,8.71001,,67.1801
02/03/2019 23:00,261.1,7.34,12.81,8.318,8.53,,66.61
02/03/2019 23:15,258.3,6.889,11.9,8.17599,8.39999,,67.1901
02/03/2019 23:30,258.6,6.683,11.91,8.056,8.27,,72.5
02/03/2019 23:45,265.3,6.376,12.55,8.06501,8.24001,,74.4
03/03/2019 00:00,258.6,5.756,13.76,7.90799,8.14999,,72.4
03/03/2019 00:15,253.1,5.885,16.2,7.96,8.25,,70.1
03/03/2019 00:30,249.9,7.63,17.21,8.103,8.37,,67.75
03/03/2019 00:45,249.9,7.14,15.13,8.06,8.3,,68.29
03/03/2019 01:00,248,8.33,16.73,7.975,8.22,,67.85
03/03/2019 01:15,246.2,7.88,16.59,7.877,8.11,,68.05
03/03/2019 01:30,244.1,7.51,17.43,7.707,7.97,,66.4
03/03/2019 01:45,243,7,15.25,7.646,7.89,,66.09
03/03/2019 02:00,245.6,7.12,14.75,7.566,7.84,,64.9401
03/03/2019 02:15,244.9,6.488,18.74,7.594,7.84,,65.89
03/03/2019 02:30,244.1,8.21001,15.03,7.728,7.98,,67.58
03/03/2019 02:45,236.7,6.729,14.68,7.635,7.88,,68.25
03/03/2019 03:00,239.2,6.236,16.52,7.417,7.69,,67
03/03/2019 03:15,237.6,5.489,17.49,7.377,7.62,,68.46
03/03/2019 03:30,243.2,5.534,18.25,7.245,7.57,,68.02
03/03/2019 03:45,239.3,6.188,18.21,7.413,7.7,,66.0601
03/03/2019 04:00,236.7,6.467,15.56,7.339,7.64,,64.78
03/03/2019 04:15,238.8,7.03,14.3,7.387,7.66,,66.23
03/03/2019 04:30,245.5,6.594,16.96,7.387,7.63,,66.97
03/03/2019 04:45,230.9,4.904,18.71,7.124,7.33,,68.83
03/03/2019 05:00,230.7,4.467,19.18,6.85,7.19,,67.25
03/03/2019 05:15,236.4,5.634,15.67,6.939,7.27,,67.83
03/03/2019 05:30,241.1,6.915,15.57,7.218,7.5,,68.65
03/03/2019 05:45,239.4,5.533,17.47,7.214,7.5,,69.02
03/03/2019 06:00,238.6,5.964,14.51,7.201,7.5,,68.65
03/03/2019 06:15,234.6,4.678,16.63,7.098,7.35,,69.73
03/03/2019 06:30,238.4,4.846,18.4,6.899,7.21,,68.85
03/03/2019 06:45,237.5,5.142,17.37,6.912,7.22,,68.14
03/03/2019 07:00,234,4.8,18.04,6.836,7.12,,69.39
03/03/2019 07:15,226,4.093,16.88,6.768,7.08,,69.59
03/03/2019 07:30,216.1,4.509,16.67,6.947,7.15,,70.3
03/03/2019 07:45,218.8,4.242,14.27,6.937,7.2,,70.4
03/03/2019 08:00,208.1,3.702,14.33,6.966,7.17,,71.7
03/03/2019 08:15,212.4,4.451,14.3,7.001,7.25,,70.8
03/03/2019 08:30,218.9,3.839,15.17,7.145,7.47,68.86,70.1
03/03/2019 08:45,222.5,4.381,15.14,7.446,7.84,98.8,67.7
03/03/2019 09:00,231.1,4.745,16.62,7.87,8.2,100,68.09
03/03/2019 09:15,236,4.94,15.87,8.16301,8.43001,112.5,66.91
03/03/2019 09:30,235.9,4.327,17.44,8.324,8.62,117.8,66.7
03/03/2019 09:45,232.6,5.954,18.7,8.45701,8.71001,140.8,66.53
03/03/2019 10:00,233.3,5.768,16.81,8.477,8.73,147.4,68.15
03/03/2019 10:15,227.7,4.865,16.33,8.444,8.69,133.3,68.49
03/03/2019 10:30,232.5,4.799,17.17,8.23301,8.46001,125.5,68.52
03/03/2019 10:45,235.5,4.165,16.6,8.182,8.41,127.2,69.53
03/03/2019 11:00,229,5.02,16.12,7.939,8.17,100.9,71.5
03/03/2019 11:15,228.5,4.263,17.92,7.569,7.88,91.5,73.8
03/03/2019 11:30,240.8,4.022,15.8,7.36,7.7,93,73.2
03/03/2019 11:45,228.4,3.464,19.29,7.591,7.95,142,73.1
03/03/2019 12:00,226.9,4.513,15.36,7.723,8.03,141.5,73.3
03/03/2019 12:15,214.8,4.023,12.21,7.545,7.9,119.5,75
03/03/2019 12:30,222.8,2.912,17.06,7.143,7.6,106.8,76.6
03/03/2019 12:45,228.7,3.148,15.87,6.749,7.26,107.7,79.5
03/03/2019 13:00,233.9,1.995,16.66,6.793,7.23,100.8,81.6
03/03/2019 13:15,223.4,1.225,16.66,6.822,7.21,64.75,83.8
03/03/2019 13:30,180.4,1.446,12.34,6.85,7.16,80.2,85.9
03/03/2019 13:45,169.8,1.634,19.16,6.956,7.2,72,88
03/03/2019 14:00,137.2,2.317,12.85,6.703,6.995,66.03,89.3
03/03/2019 14:15,138.2,3.076,10.88,6.446,6.762,59.79,90.2
03/03/2019 14:30,132.2,2.225,15.11,6.362,6.668,49.29,91
03/03/2019 14:45,119.2,2.5,17.16,6.373,6.681,53.66,92
03/03/2019 15:00,110.2,2.645,11.09,6.21,6.529,33.78,93.2
03/03/2019 15:15,115.1,2.812,12.35,6.15,6.502,27.45,93.1
03/03/2019 15:30,109.4,3.221,7.82,6.126,6.501,22.78,94.7
03/03/2019 15:45,111.3,3.486,9.25999,6.151,6.532,19.86,94.8
03/03/2019 16:00,110.6,3.654,8.7,6.131,6.53,17.26,95.2
03/03/2019 16:15,109.4,3.77,12.25,6.209,6.615,19.01,95.2
03/03/2019 16:30,107.8,3.756,10.33,6.464,6.858,20.02,95.9
03/03/2019 16:45,108.7,4.794,8.97,6.807,7.2,25.82,96.5
03/03/2019 17:00,116.2,4.221,9.71001,7.149,7.54,16.66,96.7
03/03/2019 17:15,120.7,5.414,8.96001,7.55,7.9,7.08,96.7
03/03/2019 17:30,123.5,4.789,8.50999,7.947,8.31,6.453,97.4
03/03/2019 17:45,137.7,4.017,10.16,8.243,8.66,3.797,97.3
03/03/2019 18:00,145.5,3.627,9.64999,8.512,8.97,1.476,97.1
03/03/2019 18:15,153.3,4.09,10.21,8.591,9.13,0.513,97.3
03/03/2019 18:30,180.7,4.499,16.62,8.67501,9.43001,0.488,96.8
03/03/2019 18:45,202.2,7.45,15.52,8.912,9.95,6.464,80.2
03/03/2019 19:00,211.4,7.12,14.42,10.9,11.02,6.756,78.7
03/03/2019 19:15,200.7,6.582,14.56,10.569,10.66,3.989,77
03/03/2019 19:30,202.1,7.81,12.66,10.774,10.87,1.793,74.5
03/03/2019 19:45,198.2,7.37,16.37,10.606,10.67,,72.9
03/03/2019 20:00,201,6.711,13.99,10.299,10.31,,73.1
03/03/2019 20:15,203.8,7.4,13.1,9.928,9.97,,71.5
03/03/2019 20:30,207.7,6.419,13.51,9.71699,9.78999,,72.5
03/03/2019 20:45,208.4,9.22,13.59,9.672,9.81,,67.72
03/03/2019 21:00,214.5,8.2,12.71,9.548,9.63,,68.6
03/03/2019 21:15,210.8,8.7,14.01,9.186,9.27,,68.67
03/03/2019 21:30,212.3,8.09,15.09,8.858,8.97,,70.4
03/03/2019 21:45,210.8,8.64999,16.79,8.403,8.45,,75.2
03/03/2019 22:00,212.5,7.85,14.64,7.3720001,7.45,,77.7
03/03/2019 22:15,213.5,6.751,13.96,7.019,7.21,,78.1
03/03/2019 22:30,214.7,7.15,14.95,7.014,7.23,,78.6
03/03/2019 22:45,233.3,9.22,17.73,6.998,7.18,,79.1
03/03/2019 23:00,268.4,12.06,14.08,4.564,4.752,,79.8
03/03/2019 23:15,264.9,11.23,16.61,3.692,4.059,,78.6
03/03/2019 23:30,270.1,10.4,16.28,4.025,4.387,,79.2
03/03/2019 23:45,274.9,11.48,14.04,4.382,4.71,,78
04/03/2019 00:00,281.4,9.39999,14.87,4.512,4.852,,77.3
04/03/2019 00:15,282.1,10.9,14.77,4.741,5.049,,77.6
04/03/2019 00:30,277.3,10.92,14.16,4.836,5.115,,77.6
04/03/2019 00:45,279.4,9.46001,14.25,4.906,5.195,,78.1
04/03/2019 01:00,280.6,10.12,15.77,5.064,5.355,,77.3
04/03/2019 01:15,275.4,8.87,14.47,5.057,5.311,,78.7
04/03/2019 01:30,278.4,8.74001,12.83,4.937,5.253,,75.4
04/03/2019 01:45,284.9,8.07001,15.29,4.911,5.196,,76.8
04/03/2019 02:00,284.2,7.75,15.09,4.631,4.936,,74.3
04/03/2019 02:15,295.8,10.86,11.43,4.578,4.928,,71.8
04/03/2019 02:30,295.9,10.09,12.02,4.678,4.991,,72.9
04/03/2019 02:45,292.7,8.24001,13.72,4.558,4.861,,75.7
04/03/2019 03:00,293.6,7.21,14.11,4.285,4.527,,81.4
04/03/2019 03:15,286.4,5.987,12.99,3.733,4,,83.4
04/03/2019 03:30,286,7.79,14.19,3.705,4.069,,80.5
04/03/2019 03:45,283.1,7.85,12.71,3.906,4.217,,80.2
04/03/2019 04:00,282.8,8.07001,15.33,4.006,4.291,,80.4
04/03/2019 04:15,287,7.56,12.64,3.899,4.146,,82.9
04/03/2019 04:30,285.1,7.04,15.05,3.791,4.117,,82.8
04/03/2019 04:45,280.8,6.456,16.04,3.827,4.106,,83
04/03/2019 05:00,290,7.69,15.66,3.653,4.037,,81.5
04/03/2019 05:15,290.7,6.392,13.57,3.785,4.146,,81.9
04/03/2019 05:30,291.4,6.686,14.12,3.997,4.401,,82.4
04/03/2019 05:45,287.7,5.201,14.04,4.199,4.611,,82.3
04/03/2019 06:00,277.5,5.836,14.42,4.66,5.09,,78.9
04/03/2019 06:15,283.4,6.917,16.74,5.316,5.7,,75.7
04/03/2019 06:30,282.8,7.95,15.57,5.682,5.957,,75.5
