,,,,,,,
Table 6a,"Occupation and gender distribution of employees, December 2015",,,,,,
Size of the company,Occupation,Number of employees,,,,,
,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,SUM,CV,SUM,CV,SUM,CV
,"Marketing, sales and services","1,341",C,642,D,"1,983",C
,Clerical / Administrative,"5,902",B,"10,663",B,"16,524",B
,Truck and bus drivers / Manual labourer with no trade certification,"79,691",A,"4,021",B,"83,708",A
,Other Occupations,"9,263",D,"1,740",E,"11,003",D
Maritime transportation,All occupations,"12,900",B,"4,100",D,"17,100",C
,Senior managers,519,B,143,C,661,B
,Middle and other managers,"1,157",C,424,E,"1,580",C
,Supervisors,594,B,123,D,715,B
,Professionals,515,C,240,C,754,C
,Technical / Trades,"4,208",D,810,F,"5,019",E
,"Marketing, sales and services",X,X,X,X,X,X
,Clerical / Administrative,X,X,X,X,"1,955",D
,Truck and bus drivers / Manual labourer with no trade certification,"1,909",B,X,X,X,X
,Other Occupations,"3,113",D,624,F,"3,737",D
Postal and pipelines,All occupations,"77,100",D,"48,500",E,"125,500",D
,Senior managers,"2,248",E,"1,066",E,"3,314",E
,Middle and other managers,"7,388",E,"3,697",F,"11,084",E
,Supervisors,"5,928",E,"3,817",F,"9,745",E
,Professionals,"12,330",E,X,X,X,X
,Technical / Trades,X,X,X,X,X,X
,"Marketing, sales and services",259,C,X,X,X,X
,Clerical / Administrative,"2,755",D,"6,627",D,"9,382",D
,Truck and bus drivers / Manual labourer with no trade certification,"26,879",D,"5,157",D,"32,035",D
,Other Occupations,X,X,X,X,X,X
Banks,All occupations,"101,800",A,"151,400",A,"253,400",A
,Senior managers,"4,226",A,"2,024",A,"6,251",A
,Middle and other managers,"19,181",A,"17,957",A,"37,140",A
,Supervisors,"5,199",A,"10,108",A,"15,307",A
,Professionals,"33,442",A,"33,847",A,"67,291",A
,Technical / Trades,"2,668",A,"2,584",A,"5,253",A
,"Marketing, sales and services","18,116",A,"46,806",A,"64,923",A
,Clerical / Administrative,"18,851",A,"37,868",A,"56,721",A
,Truck and bus drivers / Manual labourer with no trade certification,0,,X,X,X,X
,Other Occupations,166,B,X,X,X,X
"Feed, flour, seed and grain",All occupations,"13,500",C,"4,000",C,"17,500",C
,Senior managers,467,C,80,B,547,B
,Middle and other managers,796,C,277,D,"1,073",C
,Supervisors,"1,059",D,236,D,"1,295",D
,Professionals,427,D,X,X,X,X
,Technical / Trades,"1,010",D,X,X,X,X
,"Marketing, sales and services","1,396",D,696,D,"2,092",D
,Clerical / Administrative,514,E,"1,396",C,"1,910",C
,Truck and bus drivers / Manual labourer with no trade certification,"7,351",C,695,D,"8,047",C
,Other Occupations,445,E,X,X,X,X
Telecommunications and broadcasting,All occupations,"89,600",C,"56,400",C,"146,000",C
,Senior managers,"1,608",B,577,B,"2,184",B
,Middle and other managers,"7,389",C,"4,590",C,"11,978",C
,Supervisors,"2,647",C,"1,734",C,"4,382",C
