,,,,,,,
Table 33a,"Leaves offered by category of employees, 2015",,,,,,
,,Proportion of industrial companies with a set number of working days of leave for permanent employees with one year of continuous service working 30 hours or more per week,Quality indicator,Proportion of industrial companies offering leave to permanent employees working less than 30 hours per week,Quality indicator,Proportion of industrial companies offering leave to Non-permanent employees,Quality indicator
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),9.1,A,X,X,…,
,Long-term care giving leave (paid or unpaid),7.4,A,X,X,…,
,Education leave (paid or unpaid),10.1,A,X,X,…,
Postal and pipelines,None,48.2,A,1.5,A,11.1,A
,Paid sick leave,27.7,A,X,X,X,X
,Unpaid sick leave,28.7,A,X,X,7.6,A
,Paid bereavement leave,29.9,A,X,X,3.2,A
,Paid family-related and/ or personal leave,18.8,A,X,X,X,X
,Unpaid family-related and/ or personal leave,29.1,A,X,X,7.0,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),9.1,A,0.0,A,…,
,Long-term care giving leave (paid or unpaid),5.9,A,0.0,A,…,
,Education leave (paid or unpaid),4.8,A,0.0,A,…,
Banks,None,X,X,0.0,A,11.4,A
,Paid sick leave,70.6,A,X,X,13.7,A
,Unpaid sick leave,37.7,A,X,X,38.2,A
,Paid bereavement leave,83.5,A,X,X,14.1,A
,Paid family-related and/ or personal leave,62.8,A,X,X,8.7,A
,Unpaid family-related and/ or personal leave,41.9,A,X,X,32.6,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),56.8,A,X,X,…,
,Long-term care giving leave (paid or unpaid),47.7,A,X,X,…,
,Education leave (paid or unpaid),15.5,A,X,X,…,
"Feed, flour, seed and grain",None,41.0,D,0.0,A,4.9,A
,Paid sick leave,38.5,D,X,X,X,X
,Unpaid sick leave,15.5,B,1.0,A,10.0,A
,Paid bereavement leave,41.8,D,1.3,A,7.8,A
,Paid family-related and/ or personal leave,10.5,A,X,X,X,X
,Unpaid family-related and/ or personal leave,19.9,B,1.6,A,9.5,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),8.0,A,X,X,…,
,Long-term care giving leave (paid or unpaid),6.9,A,1.0,A,…,
,Education leave (paid or unpaid),5.0,A,X,X,…,
Telecommunications and broadcasting,None,31.0,A,1.2,A,12.4,A
,Paid sick leave,53.6,A,2.2,A,8.7,A
,Unpaid sick leave,24.5,A,2.8,A,12.1,A
,Paid bereavement leave,53.7,A,3.2,A,11.7,A
,Paid family-related and/ or personal leave,33.5,A,1.6,A,4.0,A
,Unpaid family-related and/ or personal leave,28.6,A,2.6,A,11.5,A
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),14.9,A,2.0,A,…,
,Long-term care giving leave (paid or unpaid),13.2,A,2.2,A,…,
,Education leave (paid or unpaid),9.2,A,1.1,A,…,
Other,None,43.4,D,X,X,4.9,A
,Paid sick leave,43.8,D,3.7,A,11.1,B
,Unpaid sick leave,24.3,D,3.3,A,16.3,B
,Paid bereavement leave,41.5,D,4.1,A,13.0,B
,Paid family-related and/ or personal leave,29.6,D,3.4,A,9.7,B
,Unpaid family-related and/ or personal leave,27.3,D,3.5,A,15.4,B
,Paid supplementary maternity/ parental/ adoption leave (top up to Employment Insurance),16.6,C,3.2,A,…,
,Long-term care giving leave (paid or unpaid),16.1,C,2.6,A,…,
,Education leave (paid or unpaid),14.6,C,3.2,A,…,
,,,,,,,
,,,,,,,
"Note:
",,,,,,,
Totals and sub-totals have been rounded to the nearest hundredth.,,,,,,,
Components may not add up to the totals as a result of the rounding.,,,,,,,
,,,,,,,
Reliability Indicators,,,,,,,
Coefficient of variation (CV),,,Standard error (SE),,,,
,,,,,,,
A = 0.00% - 5.00%   excellent,,,A = 0.00% - 2.50%   excellent,,,,
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good,,,,
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good,,,,
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable,,,,
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution,,,,
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published,,,,
,,,,,,,
Symbols:                      ,,,,,,,
 … not applicable,,,,,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,,,
,,,,,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,,,,,
