Federal Jurisdiction Workplace Survey 2004 Table 3: Unionization (3),,,,,,,,,,
Area,Sector,Size, Number of employees working for companies (1) under federal jurisdiction ,Q, Number of employees unionized ,Q, Number of companies (1) under federal jurisdiction with unionized employees ,Q,,
,Others: fisheries and mines,Total all size categories,3846,14.5%,463,21.2%,13,15.4%,,
,,1-5 employees,82,11.4%,5,34.2%,5,34.2%,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,,
Quebec,Total all sectors,Total all size categories,180834,22.0%,61561,43.4%,339,4.5%,,
,,1-5 employees,4370,5.1%,46,36.2%,12,36.2%,,
,,6-19 employees,9271,4.1%,943,11.6%,99,9.7%,,
,,20-99 employees,21172,4.0%,3767,8.9%,121,7.2%,,
,,100+ employees,146021,27.2%,56805,47.0%,108,7.4%,,
,Air transport,Total all size categories,20504,61.0%,10029,81.1%,40,11.7%,,
,,1-5 employees,283,7.9%,18,33.0%,5,33.0%,,
,,6-19 employees,608,8.9%,60,31.5%,8,31.2%,,
,,20-99 employees,1518,7.9%,459,17.0%,12,16.9%,,
,,100+ employees,18095,69.1%,9492,85.7%,16,20.1%,,
,Rail transport,Total all size categories,10898,27.8%,8599,27.4%,10,12.5%,,
,,1-5 employees,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,,
,Road transport,Total all size categories,36341,4.3%,9926,10.5%,131,8.9%,,
,,1 employee,854,10.5%,0,0.0%,0,0.0%,,
,,1-5 employees,3029,7.1%,0,0.0%,0,0.0%,,
,,6-19 employees,5403,6.4%,541,18.8%,46,18.1%,,
,,20-99 employees,12078,6.0%,1742,16.6%,47,14.6%,,
,,100+ employees,15831,9.5%,7643,13.3%,38,14.0%,,
,Maritime transport,Total all size categories,4668,8.5%,2036,16.4%,36,9.4%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,347,11.3%,66,34.2%,7,27.4%,,
,,20-99 employees,2605,8.7%,886,13.8%,25,11.4%,,
,,100+ employees,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,22967,100.7%,16507,130.2%,10,20.4%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,355,14.1%,0,0.0%,0,0.0%,,
,,20-99 employees,704,30.3%,9,44.7%,3,44.7%,,
,,100+ employees,x,x,x,x,x,x,,
,Banks,Total all size categories,44081,23.3%,2747,54.0%,2,54.0%,,
,,1-5 employees,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,,
,"Feed, flour, seed and grain",Total all size categories,4273,4.1%,1176,7.5%,52,7.7%,,
,,1-5 employees,93,10.6%,0,0.0%,0,0.0%,,
,,6-19 employees,814,6.7%,116,13.4%,22,12.2%,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,34842,79.8%,10079,131.9%,43,13.9%,,
,,1-5 employees,574,9.4%,28,56.3%,7,56.3%,,
,,6-19 employees,1443,8.1%,85,18.6%,11,17.9%,,
,,20-99 employees,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,,
,Others: fisheries and mines,Total all size categories,2259,8.7%,460,16.1%,15,10.7%,,
,,1-5 employees,191,15.4%,0,0.0%,0,0.0%,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,847,9.4%,101,10.7%,6,13.6%,,
,,100+ employees,x,x,x,x,x,x,,
Ontario,Total all sectors,Total all size categories,335735,23.9%,104253,49.2%,198,6.9%,,
,,1-5 employees,3736,5.0%,18,32.6%,11,30.8%,,
,,6-19 employees,8150,4.9%,232,21.3%,26,18.1%,,
,,20-99 employees,25548,5.0%,2769,15.6%,77,13.9%,,
,,100+ employees,298302,26.9%,101233,50.6%,84,9.9%,,
,Air transport,Total all size categories,32191,117.3%,19395,125.7%,36,18.0%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,1224,8.5%,108,34.4%,12,31.0%,,
,,20-99 employees,3615,13.9%,500,44.2%,12,31.6%,,
,,100+ employees,x,x,x,x,x,x,,
,Rail transport,Total all size categories,x,x,x,x,x,x,,
,,1-5 employees,...,...,...,...,...,...,,
,,6-19 employees,...,...,...,...,...,...,,
,,20-99 employees,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,,
,Road transport,Total all size categories,38520,10.5%,10057,14.7%,51,14.0%,,
,,1 employee,416,11.9%,0,0.0%,0,0.0%,,
,,1-5 employees,1838,8.1%,0,0.0%,0,0.0%,,
,,6-19 employees,3417,9.4%,0,0.0%,0,0.0%,,
,,20-99 employees,12109,8.4%,1011,26.7%,24,25.6%,,
,,100+ employees,21157,19.0%,9046,16.3%,28,15.9%,,
,Maritime transport,Total all size categories,2117,17.2%,603,28.6%,20,16.6%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,241,20.7%,63,49.8%,6,39.7%,,
,,20-99 employees,1178,18.8%,533,33.3%,12,22.3%,,
,,100+ employees,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,43643,94.0%,28218,135.4%,10,30.4%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,369,8.2%,0,0.0%,0,0.0%,,
,,20-99 employees,1635,10.5%,0,0.0%,0,0.0%,,
,,100+ employees,x,x,x,x,x,x,,
,Banks,Total all size categories,119517,31.1%,278,48.8%,3,43.2%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,1020,18.7%,0,0.0%,0,0.0%,,
,,100+ employees,118418,31.5%,278,48.8%,3,43.2%,,
,"Feed, flour, seed and grain",Total all size categories,2651,17.6%,736,18.5%,23,11.4%,,
,,1-5 employees,98,11.3%,0,0.0%,0,0.0%,,
,,6-19 employees,x,x,x,x,x,x,,
,,20-99 employees,1090,18.8%,392,35.6%,10,35.5%,,
,,100+ employees,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,64369,68.1%,26182,90.8%,36,21.6%,,
,,1-5 employees,459,14.4%,6,73.0%,3,73.0%,,
,,6-19 employees,1420,10.3%,0,0.0%,0,0.0%,,
,,20-99 employees,3678,11.4%,334,35.5%,20,33.4%,,
,,100+ employees,58813,74.6%,25842,92.0%,13,27.4%,,
,Others: fisheries and mines,Total all size categories,19343,15.3%,7853,24.1%,13,13.4%,,
,,1-5 employees,x,x,x,x,x,x,,
,,6-19 employees,846,15.8%,0,0.0%,0,0.0%,,
,,20-99 employees,x,x,x,x,x,x,,
