Sheet_name,Table_name,Flavour a,Flavour b,Flavour c,Variable x1,Type x1,Variable x2,Type x2,Variable x3,Type x3,Variable x4,Type x4,Variable x5,Type x5,Variable x6,Type x6,Variable y,Question number related to
Table_30,"Benefits plans expenditures, 2015",All sizes,All industries,,Number of industrial companies offering benefits plans,,Number of employees entitled to benefits plans,,Proportion of industrial companies offering benefits plan in which both the employer and the employee contributed to at least one of the benefit plans      ,,Proportion of industrial companies offering benefits plan in which both the employer and the employee contributed to at least one of the benefit plans      ,,Proportion of industrial companies offering benefits plan in which only  the employee contributed to at least one of the benefit plans  ,,Employers' total expenditure on benefits plans          ,,Benefits plans,"45-46,77"
Table_31,"Paid annual vacation leave as per Canada Labour Code, 2015",All sizes,All industries,,Proportion of industrial companies with a set number of days per year,,Proportion of industrial companies with no set number of days per year,,,,,,,,,,,48
Table_32,"Vacation policy for permanent employees working 30 hours or more per week, 2015",All sizes,All industries,,Average number of vacation days permanent employees working 30 hours or more per week were entitled to per industrial company,,,,,,,,,,,,Continuous employment,49
Table_33,"Leaves offered by category of employees, 2015",All sizes,All industries,,Proportion of industrial companies with a set number of working days of leave for permanent employees with one year of continuous service working 30 hours or more per week,,Proportion of industrial companies offering leave to permanent employees working less than 30 hours per week,,Proportion of industrial companies offering leave to Non-permanent employees,,,,,,,,Type of leave,"50,52,55-56"
Table_34,"Leave policy for permanent employees working 30 hours or more per week, 2015",All sizes,All industries,,Average number of days per year permanent employees working 30 hours or more per week entitled to per industrial company,,,,,,,,,,,,Type of leave,51
Table_35,"Leave policy for permanent employees working 30 hours or more per week, 2015",All sizes,All industries,,Average number of weeks permanent employees working 30 hours or more per week entitled to per industrial company,,,,,,,,,,,,Type of leave,53
Table_36,"Paid public or general holidays employees were entitled to, 2015",All sizes,All industries,,Proportion of industrial companies offering paid public or general holidays,Holidays,,,,,,,,,,,,57
Table_37,"Industrial companies who issued cellphones or smartphones to employees, 2015",All sizes,All industries,,Proportion of industrial companies that issued cellphones or smartphones to employees,,Number of employees who were issued cellphones or smartphones,,,,,,,,,,,59-60
Table_38,"Cellphones or smartphones policy, 2015",All sizes,All industries,,Number of industrial companies that issued cellphones or smartphones to employees,,Proportion of industrial companies that issued cellphones or smartphones to employees that have a policy limiting the use of these devices for work purposes outside of regular business hours to ensure the work-life balance of employees,,,,,,,,,,,"59,61"
Table_39,"Industrial companies' policies or programs, 2015",All sizes,All industries,,Proportion of industrial companies that have a policy or program on the issue,Policy or program,,,,,,,,,,,,62
Table_40,"Training offered and paid for, 2015",All sizes,All industries,,Proportion of industrial companies that provided or paid for training,,Number of employees that received training,,,,,,,,,,Training,63-64
Table_41,"Incidents of violence, 2015",All sizes,All industries,,Proportion of industrial companies with occurrences of incidents of violence,,Total number of incidents of violence,,Number of employees injured or targeted in incidents of violence,Gender,,,,,,,,65-66
Table_42,"Complaints of sexual harassment, 2015",All sizes,All industries,,Proportion of industrial companies with complaints of sexual harassment,,Total number of complaints,,Incidents directed towards women,,Incidents directed towards men,,,,,,,67-68
Table_43,"Employees who suffered a disabling injury at work by age and gender, 2015",All sizes,All industries,,Proportion of industrial companies with employees who suffered a disabling injury at work,,Number of employees,Gender,,,,,,,,,Age group,69
Table_44,"Absence of employees due to a disabling injury, 2015",All sizes,All industries,,Proportion of industrial companies in which employees were absent due to a diabling injury,,Number of full work days during which employees were absent due to a disabling injury,Gender,,,,,,,,,,70
Table_45,"Labour-management initiatives, 2015",All sizes,All industries,,Number of industrial companies with collective bargaining agreements that have at least one of the labour-management initiatives,,Proportion of industrial companies with collective bargaining agreements that have labour-management initiatives,Labour-management initiatives,,,,,,,,,,71
Table_46,"Financial information, 2015",All sizes,All industries,,Average operating revenue,,Average operating expenses,,Average gross payroll,,,,,,,,,74-75
