,,,,,
,,,,,
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good,,
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good,,
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable,,
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution,,
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published,,
,,,,,
Symbols:                      ,,,,,
 … not applicable,,,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,,,
,,,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,,,
