Table 22  Number of Worksites in operation,,,,,,,,,,,
Regions,Sectors,Size,Number of worksites,CV,Total number of Employees on Sept 30th 2007,CV,,,,,
,,6-19 employees,646,17.0%,"5,093",8.3%,,,,,
,,20-99 employees,616,14.7%,"11,210",8.0%,,,,,
,,100+ employees,"4,588",15.5%,"140,408",12.2%,,,,,
,Air transport,Total all size categories,395,14.8%,"25,894",33.1%,,,,,
,,1-5 employees,48,18.2%,98,15.2%,,,,,
,,6-19 employees,52,15.2%,278,10.5%,,,,,
,,20-99 employees,62,23.0%,911,11.5%,,,,,
,,100+ employees,233,24.8%,"24,607",34.9%,,,,,
,Rail transport,Total all size categories,x,x,x,x,,,,,
,,1-5 employees,...,...,...,...,,,,,
,,6-19 employees,x,x,x,x,,,,,
,,20-99 employees,x,x,x,x,,,,,
,,100+ employees,x,x,x,x,,,,,
,Road transport,Total all size categories,"1,243",11.8%,"21,687",8.0%,,,,,
,,1 employee,154,44.0%,168,53.5%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,315,34.0%,"2,698",14.4%,,,,,
,,20-99 employees,207,13.1%,"4,984",13.4%,,,,,
,,100+ employees,x,x,x,x,,,,,
,Maritime transport,Total all size categories,158,5.5%,"3,008",8.5%,,,,,
,,1-5 employees,10,14.8%,22,17.7%,,,,,
,,6-19 employees,21,8.4%,215,12.2%,,,,,
,,20-99 employees,38,11.4%,906,14.3%,,,,,
,,100+ employees,89,9.3%,"1,865",14.1%,,,,,
,Postal services and pipelines,Total all size categories,"1,240",15.1%,"18,234",20.3%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,24,14.9%,146,15.5%,,,,,
,,20-99 employees,x,x,x,x,,,,,
,,100+ employees,"1,145",16.6%,"17,816",20.9%,,,,,
,Banks,Total all size categories,x,x,x,x,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,x,x,x,x,,,,,
,,20-99 employees,x,x,x,x,,,,,
,,100+ employees,x,x,x,x,,,,,
,"Feed, flour, seed and grain",Total all size categories,272,20.9%,"2,549",12.9%,,,,,
,,1-5 employees,31,16.3%,89,18.9%,,,,,
,,6-19 employees,74,14.9%,503,15.1%,,,,,
,,20-99 employees,167,33.8%,"1,957",16.6%,,,,,
,,100+ employees,...,...,...,...,,,,,
,Telecommunications and broadcasting,Total all size categories,353,10.3%,"17,125",36.5%,,,,,
,,1-5 employees,80,15.9%,247,17.7%,,,,,
,,6-19 employees,89,11.3%,819,10.0%,,,,,
,,20-99 employees,60,21.2%,"1,367",15.8%,,,,,
,,100+ employees,124,27.1%,"14,691",42.8%,,,,,
,Others: fisheries and mines,Total all size categories,359,72.4%,"4,734",118.9%,,,,,
,,1-5 employees,x,x,x,x,,,,,
,,6-19 employees,64,27.7%,390,28.5%,,,,,
,,20-99 employees,x,x,x,x,,,,,
