,,,,,,,,
New Table 02,"Occupational distribution of employees in the federal jurisdiction by gender, employer size and industry, December 2015",,,,,,,
Size of the company,"Industry
",Occupation,Number of employees,,,,,
,,,Male,Quality indicator,Female,Quality indicator,Total,Quality indicator
,,,SUM,,SUM,,SUM,
,,Middle and other managers,473,F,"1,115",F,"1,587",E
,,Supervisors,327,E,203,F,530,F
,,Professionals,385,D,201,F,587,D
,,Technical / Trades,"2,003",F,102,E,"2,104",E
,,"Marketing, sales and services",269,D,242,C,511,C
,,Clerical / Administrative,"1,491",F,"3,163",D,"4,613",D
,,Truck and bus drivers / Manual labourer with no trade certification,"11,233",D,629,F,"11,860",D
,,Other Occupations,"2,274",E,298,C,"2,572",E
,Air transportation,All occupations,"1,200",A,500,B,"1,700",A
,,Senior managers,290,B,74,C,363,B
,,Middle and other managers,80,C,57,D,137,B
,,Supervisors,58,C,13,F,71,C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,348,B,21,E,369,B
,,"Marketing, sales and services",X,X,X,X,29,E
,,Clerical / Administrative,X,X,X,X,241,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,191,C
,,Other Occupations,X,X,X,X,X,X
,Rail transportation,All occupations,...,,...,,...,
,,Senior managers,...,,...,,...,
,,Middle and other managers,...,,...,,...,
,,Supervisors,...,,...,,...,
,,Professionals,...,,...,,...,
,,Technical / Trades,...,,...,,...,
,,"Marketing, sales and services",...,,...,,...,
,,Clerical / Administrative,...,,...,,...,
,,Truck and bus drivers / Manual labourer with no trade certification,...,,...,,...,
,,Other Occupations,...,,...,,...,
,Road transportation,All occupations,"19,700",C,"4,500",D,"24,100",C
,,Senior managers,"4,659",E,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,0,,X,X
,,Clerical / Administrative,"1,253",F,"2,470",E,"3,680",E
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,"10,976",D
,,Other Occupations,X,X,X,X,X,X
,Maritime transportation,All occupations,400,B,200,B,600,B
,,Senior managers,84,B,24,D,108,B
,,Middle and other managers,29,D,22,D,51,C
,,Supervisors,X,X,X,X,36,C
,,Professionals,10,E,0,,10,E
,,Technical / Trades,40,D,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,33,E
,,Clerical / Administrative,20,D,55,C,75,C
,,Truck and bus drivers / Manual labourer with no trade certification,105,C,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Postal and pipelines,All occupations,500,B,300,B,900,A
,,Senior managers,101,B,51,C,152,B
,,Middle and other managers,38,C,15,E,53,C
,,Supervisors,12,E,14,E,26,C
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,175,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,X,X,X,X,100,C
,,Senior managers,X,X,5,D,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,0,,0,,0,
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,19,C
,,Truck and bus drivers / Manual labourer with no trade certification,0,,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,"Feed, flour, seed and grain",All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,14,D,3,F,17,C
,,Supervisors,4,E,0,,4,E
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,17,D
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Telecommunications and broadcasting,All occupations,"1,200",A,700,A,"1,900",A
,,Senior managers,235,B,77,C,311,B
,,Middle and other managers,100,C,87,C,187,B
,,Supervisors,X,X,X,X,X,X
,,Professionals,80,D,21,D,102,C
,,Technical / Trades,319,B,46,C,364,B
,,"Marketing, sales and services",X,X,X,X,211,B
,,Clerical / Administrative,65,D,186,B,251,B
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,160,C,128,C,288,B
,Other,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",0,,0,,0,
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
10 to 14 employees,All industries,All occupations,"10,200",E,"3,200",D,"13,400",E
,,Senior managers,"1,093",F,249,F,"1,341",F
,,Middle and other managers,682,F,231,F,913,F
,,Supervisors,546,F,89,F,634,F
,,Professionals,186,C,74,F,260,C
,,Technical / Trades,617,C,84,F,701,C
,,"Marketing, sales and services",206,F,202,F,408,E
,,Clerical / Administrative,675,F,"1,156",F,"1,830",F
,,Truck and bus drivers / Manual labourer with no trade certification,"3,772",E,319,F,"4,087",E
,,Other Occupations,"2,439",F,777,F,"3,216",F
,Air transportation,All occupations,X,X,X,X,X,X
,,Senior managers,92,B,27,C,119,B
,,Middle and other managers,68,B,34,C,101,B
,,Supervisors,103,B,12,E,114,B
,,Professionals,97,C,9,D,105,C
,,Technical / Trades,229,B,14,C,243,B
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,39,C,126,C,165,C
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,143,C
,,Other Occupations,X,X,X,X,X,X
,Rail transportation,All occupations,X,X,0,,X,X
,,Senior managers,0,,0,,0,
,,Middle and other managers,0,,0,,0,
,,Supervisors,0,,0,,0,
,,Professionals,0,,0,,0,
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",0,,0,,0,
,,Clerical / Administrative,0,,0,,0,
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,0,,X,X
,,Other Occupations,0,,0,,0,
,Road transportation,All occupations,"7,600",F,"2,000",F,"9,600",F
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,0,,0,,0,
,,Technical / Trades,X,X,0,,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Maritime transportation,All occupations,X,X,X,X,400,B
,,Senior managers,48,C,12,D,60,C
,,Middle and other managers,21,D,9,E,30,D
,,Supervisors,X,X,X,X,24,E
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,26,E,7,F,33,E
,,"Marketing, sales and services",X,X,0,,X,X
,,Clerical / Administrative,X,X,X,X,58,D
,,Truck and bus drivers / Manual labourer with no trade certification,65,D,X,X,X,X
,,Other Occupations,X,X,X,X,69,D
,Postal and pipelines,All occupations,X,X,X,X,X,X
,,Senior managers,22,E,X,X,X,X
,,Middle and other managers,X,X,X,X,19,F
,,Supervisors,X,X,X,X,6,E
,,Professionals,X,X,0,,X,X
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,15,E,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,101,D,X,X,X,X
,,Other Occupations,X,X,X,X,X,X
,Banks,All occupations,X,X,X,X,X,X
,,Senior managers,X,X,X,X,X,X
,,Middle and other managers,X,X,0,,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,X,X
,,Technical / Trades,0,,0,,0,
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,0,,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,0,,0,,0,
,,Other Occupations,0,,0,,0,
,"Feed, flour, seed and grain",All occupations,X,X,X,X,X,X
,,Senior managers,X,X,4,E,X,X
,,Middle and other managers,X,X,X,X,X,X
,,Supervisors,X,X,X,X,X,X
,,Professionals,X,X,X,X,5,E
,,Technical / Trades,X,X,X,X,X,X
,,"Marketing, sales and services",X,X,X,X,X,X
,,Clerical / Administrative,X,X,X,X,X,X
,,Truck and bus drivers / Manual labourer with no trade certification,X,X,X,X,X,X
,,Other Occupations,0,,0,,0,
,Telecommunications and broadcasting,All occupations,600,B,400,B,"1,000",A
