Federal Jurisdiction Workplace Survey 2008 Table 16b: Implementation of policy or program to improve working conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sectors,Working Conditions,Number of regional companies that have a policy or program in place,CV,Number of regional companies that plan to put in place in next 12 months,CV,Number of regional companies that have no plan to put in place in next 12 months,CV,Number of employees working for regional companies that have a policy or program in place,CV,Number of employees working for regional companies that plan to put in place in next 12 months,CV,Number of employees working for regional companies that have no plan to put in place in next 12 months,CV,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,231,23.8%,126,21.2%,"3,377",6.8%,"17,105",19.9%,"4,606",21.2%,"65,856",6.1%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,141,44.3%,90,40.6%,"3,503",6.5%,"14,149",23.2%,"3,148",25.9%,"70,270",5.8%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,438,16.5%,55,66.6%,"3,241",7.0%,"24,557",14.6%,"5,297",45.3%,"57,714",5.8%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,576,16.3%,101,30.1%,"3,057",7.4%,"58,188",7.9%,"3,539",45.9%,"25,840",8.4%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,293,20.5%,16,75.2%,"3,425",6.7%,"38,539",12.2%,"1,485",40.9%,"47,544",5.7%,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,484,13.3%,146,26.7%,"3,104",7.4%,"52,831",8.9%,"1,875",42.3%,"32,862",7.3%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,270,21.1%,147,19.3%,"3,317",6.9%,"29,991",12.3%,"1,981",20.0%,"55,595",7.2%,,,,,,,,,,,,,,,,,,,,
Maritime transport,Workplace health and safety,182,4.9%,27,16.5%,140,6.6%,"14,939",13.1%,724,9.3%,"2,148",12.5%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,56,7.7%,11,16.6%,282,4.0%,"5,095",17.5%,"1,225",22.1%,"11,491",15.3%,,,,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,35,9.3%,6,22.2%,309,3.7%,"9,471",20.3%,"1,080",24.8%,"7,259",6.0%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,24,9.9%,8,16.0%,317,3.6%,"3,189",26.9%,"1,038",25.1%,"13,584",13.0%,,,,,,,,,,,,,,,,,,,,
,Child care support,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Options for employees on work schedules,46,10.3%,14,17.4%,290,3.8%,"6,295",27.1%,"1,525",23.4%,"9,991",9.7%,,,,,,,,,,,,,,,,,,,,
,Prevention of harassment in the workplace,110,5.7%,13,15.3%,226,4.7%,"13,889",14.1%,671,12.9%,"3,251",8.2%,,,,,,,,,,,,,,,,,,,,
,Employee counselling services,68,6.1%,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Diability management/return-to-work program,77,6.6%,11,17.9%,261,4.2%,"12,496",15.5%,580,19.7%,"4,735",7.1%,,,,,,,,,,,,,,,,,,,,
,Appeal process against decision related to harassment,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
,Appeal process against dismissal,40,9.3%,5,25.3%,304,3.7%,"9,213",20.8%,172,40.6%,"8,425",6.5%,,,,,,,,,,,,,,,,,,,,
,Dispute or grievance review process,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,
Postal services and pipelines,Workplace health and safety,171,10.0%,23,27.1%,228,11.1%,"139,364",25.5%,258,21.2%,"1,102",20.1%,,,,,,,,,,,,,,,,,,,,
,Physical health or fitness promotion,54,7.2%,13,37.1%,355,8.0%,"137,306",25.8%,62,33.4%,"3,356",103.2%,,, ,,,,,,,,,,,,,,,,,
,Mental or psychological health promotion,43,17.9%,16,43.9%,363,7.7%,"131,663",27.2%,73,24.1%,"8,988",33.6%,,,,,,,,,,,,,,,,,,,,
,Work-life balance,53,21.0%,10,50.3%,360,7.7%,"128,743",28.0%,41,34.2%,"11,940",27.1%,,,,,,,,,,,,,,,,,,,,
