,,,
Table 32a,"Vacation policy for permanent employees working 30 hours or more per week, 2015",,
Size of the company,Continuous employment,Average number of vacation days permanent employees working 30 hours or more per week were entitled to per industrial company,Quality indicator
,,Average,CV
All sizes,6 months,5,B
,1 year,11,A
,3 years,12,A
,5 years,14,A
,10 years,18,A
,20 years,20,A
1 to 5 employees,6 months,2,F
,1 year,10,B
,3 years,11,B
,5 years,12,B
,10 years,14,C
,20 years,15,C
6 to 19 employees,6 months,5,C
,1 year,10,A
,3 years,11,A
,5 years,14,A
,10 years,17,A
,20 years,20,B
20 to 99 employees,6 months,6,A
,1 year,11,A
,3 years,13,A
,5 years,15,A
,10 years,19,A
,20 years,21,A
100 employees and more,6 months,7,A
,1 year,12,A
,3 years,13,A
,5 years,15,A
,10 years,20,A
,20 years,23,A
,,,
,,,
Table 32b,"Vacation policy for permanent employees working 30 hours or more per week, 2015",,
Industry,Continuous employment,Average number of vacation days permanent employees working 30 hours or more per week were entitled to per industrial company,Quality indicator
,,Average,CV
All industries,6 months,5,B
,1 year,11,A
,3 years,12,A
,5 years,14,A
,10 years,18,A
,20 years,20,A
Air transportation,6 months,6,A
,1 year,10,A
,3 years,12,A
,5 years,15,A
,10 years,18,A
,20 years,20,A
Rail transportation,6 months,3,D
,1 year,11,A
,3 years,13,A
,5 years,14,A
,10 years,18,A
,20 years,20,A
Road transportion,6 months,4,E
,1 year,10,A
,3 years,11,A
,5 years,13,B
,10 years,16,B
,20 years,19,B
Maritime transportation,6 months,7,A
,1 year,12,A
,3 years,14,A
,5 years,16,A
,10 years,20,A
,20 years,23,A
Postal and pipelines,6 months,6,B
,1 year,10,A
,3 years,10,A
,5 years,13,A
,10 years,15,A
,20 years,18,A
Banks,6 months,11,A
,1 year,15,A
,3 years,16,A
,5 years,18,A
,10 years,21,A
,20 years,24,A
"Feed, flour, seed and grain",6 months,4,F
,1 year,11,C
,3 years,12,B
,5 years,14,B
,10 years,18,B
,20 years,21,B
Telecommunications and broadcasting,6 months,6,A
,1 year,11,A
,3 years,13,A
,5 years,15,A
,10 years,19,A
,20 years,21,A
Other,6 months,7,C
,1 year,12,A
,3 years,14,A
,5 years,16,A
,10 years,19,A
,20 years,22,B
,,,
,,,
"Note:
",,,
Totals and sub-totals have been rounded to the nearest hundredth.,,,
Components may not add up to the totals as a result of the rounding.,,,
,,,
Reliability Indicators,,,
Coefficient of variation (CV),,,Standard error (SE)
,,,
A = 0.00% - 5.00%   excellent,,,A = 0.00% - 2.50%   excellent
B = 5.01% - 10.00%    very Good,,,B = 2.51% - 5.00%    very Good
C = 10.01% - 15.00%  good,,,C = 5.01% - 7.50%  good
D = 15.01% - 20.00%  acceptable,,,D = 7.51% - 10.00%  acceptable
E = 20.01 - 25.00%  use with caution,,,E = 10.01% - 12.50%  use with caution
F = Greater than 25.00%   too unreliable to be published,,,F = 12.51% or more  too unreliable to be published
,,,
Symbols:                      ,,,
 … not applicable,,,
x  suppressed to meet the confidentiality requirements of the Statistics Act ,,,
,,,
Source:  ,"Federal Jurisdiction Workplace Survey, 2015",,
