Federal Jurisdiction Workplace Survey 2004 Table 5: Number of employees by length of service with company (1) (3),,,,,,,,,,,,,,
Area,Sector,Size, Less than 1 year ,Q, 1 year or more but less than 5 years ,Q, 5 years or more but less than 10 years ,Q, 10 years or more ,Q, Total ,Q,,
,,6-19 employees,...,...,...,...,...,...,...,...,...,...,,
,,20-99 employees,...,...,...,...,...,...,...,...,...,...,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Road transport,Total all size categories,1064,7.4%,2441,8.1%,1418,7.1%,1215,10.2%,6138,6.2%,,
,,1 employee,55,18.1%,58,17.4%,35,23.0%,73,15.7%,222,8.4%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,275,12.3%,536,8.7%,390,9.4%,264,9.7%,1465,7.4%,,
,,20-99 employees,422,12.0%,954,10.1%,550,12.8%,443,16.9%,2369,9.4%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Maritime transport,Total all size categories,578,26.7%,2167,42.1%,1331,27.5%,3127,44.8%,7204,37.6%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,74,27.4%,17,31.2%,60,19.3%,143,31.3%,295,19.6%,,
,,20-99 employees,160,24.3%,256,26.0%,157,28.2%,566,30.4%,1139,26.1%,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Postal services and pipelines,Total all size categories,7210,86.1%,361,33.1%,405,34.0%,552,36.3%,8528,71.9%,,
,,1-5 employees,12,22.8%,32,14.9%,12,15.9%,17,14.9%,72,11.0%,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Banks,Total all size categories,1247,11.9%,4679,11.6%,2820,11.0%,8377,11.7%,17123,11.3%,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,...,...,...,...,...,...,...,...,...,...,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,"Feed, flour, seed and grain",Total all size categories,41,10.0%,107,14.4%,72,18.5%,190,16.3%,409,13.5%,,
,,1-5 employees,x,x,x,x,x,x,x,x,x,x,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Telecommunications and broadcasting,Total all size categories,545,41.1%,1558,37.1%,899,23.5%,3754,30.6%,6756,26.9%,,
,,1-5 employees,39,15.3%,43,10.9%,60,14.7%,39,16.7%,180,8.0%,,
,,6-19 employees,69,18.4%,88,9.4%,81,15.1%,116,19.0%,355,11.1%,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Others: fisheries and mines,Total all size categories,181,7.9%,749,12.4%,523,11.3%,2394,16.6%,3846,14.5%,,
,,1-5 employees,26,16.6%,23,11.5%,18,16.7%,15,25.5%,82,11.4%,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
Quebec,Total all sectors,Total all size categories,29233,30.4%,56935,24.3%,32518,24.8%,62147,21.3%,180834,22.0%,,
,,1-5 employees,630,14.1%,1515,9.1%,557,11.1%,1668,7.6%,4370,5.1%,,
,,6-19 employees,2007,5.7%,3338,5.6%,1788,5.1%,2137,5.5%,9271,4.1%,,
,,20-99 employees,4861,5.7%,7736,4.6%,3781,4.8%,4794,5.4%,21172,4.0%,,
,,100+ employees,21735,40.9%,44346,31.2%,26393,30.6%,53547,24.7%,146021,27.2%,,
,Air transport,Total all size categories,5121,39.6%,6548,82.6%,2799,67.7%,6036,54.0%,20504,61.0%,,
,,1-5 employees,68,13.7%,78,12.1%,55,12.8%,83,11.4%,283,7.9%,,
,,6-19 employees,229,15.8%,90,13.5%,91,12.7%,198,12.3%,608,8.9%,,
,,20-99 employees,412,11.3%,628,8.7%,240,11.4%,238,18.6%,1518,7.9%,,
,,100+ employees,4412,45.9%,5752,94.0%,2413,78.5%,5517,59.1%,18095,69.1%,,
,Rail transport,Total all size categories,481,43.0%,1608,32.7%,1871,36.6%,6939,24.1%,10898,27.8%,,
,,1-5 employees,...,...,...,...,...,...,...,...,...,...,,
,,6-19 employees,x,x,x,x,x,x,x,x,x,x,,
,,20-99 employees,x,x,x,x,x,x,x,x,x,x,,
,,100+ employees,x,x,x,x,x,x,x,x,x,x,,
,Road transport,Total all size categories,8745,6.9%,13470,4.6%,5957,5.2%,8169,5.1%,36341,4.3%,,
,,1 employee,49,51.0%,146,29.0%,146,29.0%,514,14.1%,854,10.5%,,
,,1-5 employees,395,21.8%,996,13.3%,351,17.0%,1288,9.6%,3029,7.1%,,
,,6-19 employees,1150,8.5%,2065,8.4%,1065,7.6%,1124,8.8%,5403,6.4%,,
,,20-99 employees,3131,7.8%,4696,6.8%,1835,7.3%,2415,9.1%,12078,6.0%,,
